arm,config,seed,M,image,PSNR
mave_unperm,default,1,5000,ship,22.190218455274824
whiten_lw,-,1,5000,ship,14.995726321423895
mave_unperm,default,1,5000,truck,28.442246331665828
whiten_lw,-,1,5000,truck,20.007351983243126
mave_unperm,default,1,10000,cat,28.303537079095022
whiten_lw,-,1,10000,cat,20.81709525080042
mave_unperm,default,1,10000,deer,33.29662001533711
whiten_lw,-,1,10000,deer,23.508620673979923
mave_unperm,default,1,10000,dog,21.45056648199105
whiten_lw,-,1,10000,dog,16.13914406663772
mave_unperm,default,1,10000,horse,26.325666209856724
whiten_lw,-,1,10000,horse,19.095091567992554
mave_unperm,default,1,10000,airplane,26.830465800309135
whiten_lw,-,1,10000,airplane,19.771937244313204
mave_unperm,default,1,10000,car,31.871006330791065
whiten_lw,-,1,10000,car,23.076619653764105
mave_unperm,default,1,10000,ship,24.75345908924219
whiten_lw,-,1,10000,ship,17.523084968037
mave_unperm,default,1,10000,truck,30.61521469830349
whiten_lw,-,1,10000,truck,22.378063263439202
mave_perm0,default,2,20000,cat,4.379492766142264
mave_perm0,default,2,20000,deer,6.58860673123395
mave_perm0,default,2,20000,dog,-0.5049097618361215
mave_perm0,default,2,20000,horse,3.153339565198809
mave_perm0,default,2,20000,airplane,3.0585952863901866
mave_perm0,default,2,20000,car,5.9873147422407325
mave_perm0,default,2,20000,ship,1.4321123145978265
mave_perm0,default,2,20000,truck,5.6858976316240355
mave_perm1,default,2,20000,cat,4.686010104136494
mave_perm1,default,2,20000,deer,6.7640397432355375
mave_perm1,default,2,20000,dog,-0.05481754642809261
mave_perm1,default,2,20000,horse,3.731298909013419
mave_perm1,default,2,20000,airplane,3.625523674132186
mave_perm1,default,2,20000,car,5.780037269741004
mave_perm1,default,2,20000,ship,1.6112091980583854
mave_perm1,default,2,20000,truck,5.241113189145919
mave_perm2,default,2,20000,cat,4.208250085172949
mave_perm2,default,2,20000,deer,6.486331579689591
mave_perm2,default,2,20000,dog,-0.9366830780909494
mave_perm2,default,2,20000,horse,2.7858399665105225
mave_perm2,default,2,20000,airplane,3.1421373517793585
mave_perm2,default,2,20000,car,5.607501577022969
mave_perm2,default,2,20000,ship,1.1203039369071788
mave_perm2,default,2,20000,truck,5.241830555567435
mave_unperm,default,2,20000,cat,31.576695144031323
mave_noise,default,2,20000,cat,5.089217382701352
whiten_lw,-,2,20000,cat,23.626672582935726
l_isotron,-,2,20000,cat,23.65560828944598
mle_renewal,best_of,2,20000,cat,33.932298050457305
mave_lin,default,2,20000,cat,31.736782652495652
whiten_lw_lin,-,2,20000,cat,24.27598185360577
mave_unperm,default,2,20000,deer,34.09760227837389
mave_noise,default,2,20000,deer,6.807558613150103
whiten_lw,-,2,20000,deer,26.16861912415483
l_isotron,-,2,20000,deer,26.197525950826265
mle_renewal,best_of,2,20000,deer,37.069953221625255
mave_lin,default,2,20000,deer,36.46231567493298
whiten_lw_lin,-,2,20000,deer,26.347172842204888
mave_unperm,default,2,20000,dog,26.03855491372412
mave_noise,default,2,20000,dog,0.3640310446786311
whiten_lw,-,2,20000,dog,19.147420756714585
l_isotron,-,2,20000,dog,19.17571196802824
mle_renewal,best_of,2,20000,dog,27.852104104533804
mave_lin,default,2,20000,dog,25.933553733907004
whiten_lw_lin,-,2,20000,dog,19.45952538090735
mave_unperm,default,2,20000,horse,29.069326017568358
mave_noise,default,2,20000,horse,3.622606127461176
whiten_lw,-,2,20000,horse,22.772690648124538
l_isotron,-,2,20000,horse,22.80249800689886
mle_renewal,best_of,2,20000,horse,31.67216288539043
mave_lin,default,2,20000,horse,30.354288575545276
whiten_lw_lin,-,2,20000,horse,22.20808742053066
mave_unperm,default,2,20000,airplane,29.5507294400084
mave_noise,default,2,20000,airplane,3.7047398475543902
whiten_lw,-,2,20000,airplane,22.687926740466146
l_isotron,-,2,20000,airplane,22.687926740466146
mle_renewal,best_of,2,20000,airplane,32.364459114856764
mave_lin,default,2,20000,airplane,30.34020168143268
whiten_lw_lin,-,2,20000,airplane,22.721468199466912
mave_unperm,default,2,20000,car,32.42660134204333
mave_noise,default,2,20000,car,4.9185644416061045
whiten_lw,-,2,20000,car,25.494048113014117
l_isotron,-,2,20000,car,25.522996006678685
mle_renewal,best_of,2,20000,car,35.67882791325009
mave_lin,default,2,20000,car,35.63032244197533
whiten_lw_lin,-,2,20000,car,25.570278971368804
mave_unperm,default,2,20000,ship,27.398073980756447
mave_noise,default,2,20000,ship,1.2172552836953257
whiten_lw,-,2,20000,ship,20.479455282983192
l_isotron,-,2,20000,ship,20.479455282983192
mle_renewal,best_of,2,20000,ship,30.146497445394548
mave_lin,default,2,20000,ship,28.455631292031395
whiten_lw_lin,-,2,20000,ship,20.356988607796488
mave_unperm,default,2,20000,truck,32.696380641499026
mave_noise,default,2,20000,truck,5.292370618804034
whiten_lw,-,2,20000,truck,24.97564192776271
l_isotron,-,2,20000,truck,25.005995283783346
mle_renewal,best_of,2,20000,truck,36.093998454582625
mave_lin,default,2,20000,truck,34.03266631039631
whiten_lw_lin,-,2,20000,truck,25.16795993538913
mave_unperm,default,2,5000,cat,25.798816995614075
whiten_lw,-,2,5000,cat,17.87962113847816
mave_unperm,default,2,5000,deer,29.279587853613425
whiten_lw,-,2,5000,deer,20.623953226691082
mave_unperm,default,2,5000,dog,19.78084069873882
whiten_lw,-,2,5000,dog,13.165422218786668
mave_unperm,default,2,5000,horse,24.08929836316269
whiten_lw,-,2,5000,horse,16.543795943771286
mave_unperm,default,2,5000,airplane,25.136856126907894
whiten_lw,-,2,5000,airplane,16.689098851580642
mave_unperm,default,2,5000,car,28.943397528645527
whiten_lw,-,2,5000,car,19.865608195701487
mave_unperm,default,2,5000,ship,22.135265569762417
whiten_lw,-,2,5000,ship,14.322950083751781
mave_unperm,default,2,5000,truck,28.763139152632103
whiten_lw,-,2,5000,truck,19.16631925996217
mave_unperm,default,2,10000,cat,28.014955943479777
whiten_lw,-,2,10000,cat,20.331579569268428
mave_unperm,default,2,10000,deer,32.23191400291497
whiten_lw,-,2,10000,deer,23.611470412750364
mave_unperm,default,2,10000,dog,22.61954826803047
whiten_lw,-,2,10000,dog,15.630090448505857
mave_unperm,default,2,10000,horse,27.25564480242911
whiten_lw,-,2,10000,horse,19.09871082277539
mave_unperm,default,2,10000,airplane,26.059972486748556
whiten_lw,-,2,10000,airplane,19.1952107341478
mave_unperm,default,2,10000,car,30.679009774347303
whiten_lw,-,2,10000,car,22.156967002092824
mave_unperm,default,2,10000,ship,24.36792240761555
whiten_lw,-,2,10000,ship,17.046404953937607
mave_unperm,default,2,10000,truck,30.36404125839946
whiten_lw,-,2,10000,truck,21.65101471808249
mave_sens,bw0.5_r0.1,0,20000,cat,30.36473548067821
mave_sens,bw0.5_r0.1,0,20000,deer,33.75217675572292
mave_sens,bw0.5_r0.1,0,20000,dog,25.398375161292
mave_sens,bw0.5_r0.1,0,20000,horse,28.914394615534963
mave_sens,bw0.5_r0.1,0,20000,airplane,28.775721445075316
mave_sens,bw0.5_r0.1,0,20000,car,33.25675109276255
mave_sens,bw0.5_r0.1,0,20000,ship,27.19882449985514
mave_sens,bw0.5_r0.1,0,20000,truck,31.965761099628512
mave_sens,bw0.5_r1,0,20000,cat,31.00955576037189
mave_sens,bw0.5_r1,0,20000,deer,34.541062054652464
mave_sens,bw0.5_r1,0,20000,dog,24.46776341160552
mave_sens,bw0.5_r1,0,20000,horse,28.710514098538248
