illum,cv,rho,seed,image,arm,readout,PSNR,SSIM
GAM4,0.02,0.99,0,airplane,GLOBAL,whiten,6.4389,0.055948
GAM4,0.02,0.99,0,car,GLOBAL,whiten,10.0412,0.169878
GAM4,0.02,0.99,0,ship,GLOBAL,whiten,3.03969,0.0191571
GAM4,0.02,0.99,0,truck,GLOBAL,whiten,11.5313,0.284965
GAM4,0.02,0.9,0,cat,L2,plain,8.69887,0.157191
GAM4,0.02,0.9,0,deer,L2,plain,11.0716,0.151067
GAM4,0.02,0.9,0,dog,L2,plain,2.32684,0.0154242
GAM4,0.02,0.9,0,horse,L2,plain,6.61045,0.118601
GAM4,0.02,0.9,0,airplane,L2,plain,7.06861,0.0757564
GAM4,0.02,0.9,0,car,L2,plain,10.6243,0.192113
GAM4,0.02,0.9,0,ship,L2,plain,3.8611,0.0308764
GAM4,0.02,0.9,0,truck,L2,plain,12.1125,0.325953
GAM4,0.02,0.9,0,cat,L2,whiten,9.11651,0.173156
GAM4,0.02,0.9,0,deer,L2,whiten,11.8622,0.182654
GAM4,0.02,0.9,0,dog,L2,whiten,2.65829,0.0181422
GAM4,0.02,0.9,0,horse,L2,whiten,7.04777,0.134558
GAM4,0.02,0.9,0,airplane,L2,whiten,7.53246,0.087482
GAM4,0.02,0.9,0,car,L2,whiten,11.4344,0.225279
GAM4,0.02,0.9,0,ship,L2,whiten,4.16166,0.0370216
GAM4,0.02,0.9,0,truck,L2,whiten,12.734,0.358732
GAM4,0.02,0.9,0,cat,L2,ratio,8.69648,0.157243
GAM4,0.02,0.9,0,deer,L2,ratio,11.0736,0.15107
GAM4,0.02,0.9,0,dog,L2,ratio,2.32742,0.0154611
GAM4,0.02,0.9,0,horse,L2,ratio,6.60824,0.118221
GAM4,0.02,0.9,0,airplane,L2,ratio,7.0645,0.0757047
GAM4,0.02,0.9,0,car,L2,ratio,10.6198,0.192051
GAM4,0.02,0.9,0,ship,L2,ratio,3.86373,0.0309251
GAM4,0.02,0.9,0,truck,L2,ratio,12.1153,0.326354
GAM4,0.02,0.9,0,cat,L4,plain,9.26577,0.182492
GAM4,0.02,0.9,0,deer,L4,plain,11.8721,0.18111
GAM4,0.02,0.9,0,dog,L4,plain,3.02024,0.0204188
GAM4,0.02,0.9,0,horse,L4,plain,7.25612,0.149565
GAM4,0.02,0.9,0,airplane,L4,plain,7.85496,0.0975868
GAM4,0.02,0.9,0,car,L4,plain,11.4622,0.2351
GAM4,0.02,0.9,0,ship,L4,plain,4.5413,0.033106
GAM4,0.02,0.9,0,truck,L4,plain,13.0326,0.378601
GAM4,0.02,0.9,0,cat,L4,whiten,9.62544,0.196273
GAM4,0.02,0.9,0,deer,L4,whiten,12.3258,0.200383
GAM4,0.02,0.9,0,dog,L4,whiten,3.28608,0.022601
GAM4,0.02,0.9,0,horse,L4,whiten,7.50856,0.158957
GAM4,0.02,0.9,0,airplane,L4,whiten,8.16905,0.10525
GAM4,0.02,0.9,0,car,L4,whiten,11.9481,0.256256
GAM4,0.02,0.9,0,ship,L4,whiten,4.84824,0.0367289
GAM4,0.02,0.9,0,truck,L4,whiten,13.4539,0.402313
GAM4,0.02,0.9,0,cat,L4,ratio,9.26448,0.182485
GAM4,0.02,0.9,0,deer,L4,ratio,11.8736,0.181408
GAM4,0.02,0.9,0,dog,L4,ratio,3.02074,0.0204396
GAM4,0.02,0.9,0,horse,L4,ratio,7.25864,0.149366
GAM4,0.02,0.9,0,airplane,L4,ratio,7.85801,0.0977758
GAM4,0.02,0.9,0,car,L4,ratio,11.4624,0.235127
GAM4,0.02,0.9,0,ship,L4,ratio,4.54325,0.0329646
GAM4,0.02,0.9,0,truck,L4,ratio,13.0332,0.37865
GAM4,0.02,0.9,0,cat,L8,plain,9.36746,0.181183
GAM4,0.02,0.9,0,deer,L8,plain,11.8922,0.187589
GAM4,0.02,0.9,0,dog,L8,plain,3.01234,0.022019
GAM4,0.02,0.9,0,horse,L8,plain,7.1755,0.147898
GAM4,0.02,0.9,0,airplane,L8,plain,7.86636,0.0955829
GAM4,0.02,0.9,0,car,L8,plain,11.3877,0.232857
GAM4,0.02,0.9,0,ship,L8,plain,4.61369,0.0309982
GAM4,0.02,0.9,0,truck,L8,plain,12.9387,0.373079
GAM4,0.02,0.9,0,cat,L8,whiten,9.52722,0.187105
GAM4,0.02,0.9,0,deer,L8,whiten,12.1244,0.197769
GAM4,0.02,0.9,0,dog,L8,whiten,3.12557,0.0231266
GAM4,0.02,0.9,0,horse,L8,whiten,7.30863,0.152319
GAM4,0.02,0.9,0,airplane,L8,whiten,8.01302,0.0990136
GAM4,0.02,0.9,0,car,L8,whiten,11.6222,0.242991
GAM4,0.02,0.9,0,ship,L8,whiten,4.76596,0.0325909
GAM4,0.02,0.9,0,truck,L8,whiten,13.1302,0.384157
GAM4,0.02,0.9,0,cat,L8,ratio,9.36539,0.181072
GAM4,0.02,0.9,0,deer,L8,ratio,11.8945,0.187735
GAM4,0.02,0.9,0,dog,L8,ratio,3.01318,0.0220169
GAM4,0.02,0.9,0,horse,L8,ratio,7.17744,0.147806
GAM4,0.02,0.9,0,airplane,L8,ratio,7.8663,0.095729
GAM4,0.02,0.9,0,car,L8,ratio,11.3891,0.232931
GAM4,0.02,0.9,0,ship,L8,ratio,4.61381,0.0309484
GAM4,0.02,0.9,0,truck,L8,ratio,12.9393,0.372969
GAM4,0.02,0.9,0,cat,L16,plain,9.01792,0.16035
GAM4,0.02,0.9,0,deer,L16,plain,11.6882,0.180589
GAM4,0.02,0.9,0,dog,L16,plain,2.71195,0.0187877
GAM4,0.02,0.9,0,horse,L16,plain,6.86293,0.133661
GAM4,0.02,0.9,0,airplane,L16,plain,7.45023,0.0884338
GAM4,0.02,0.9,0,car,L16,plain,10.9344,0.209216
GAM4,0.02,0.9,0,ship,L16,plain,4.39427,0.0279432
GAM4,0.02,0.9,0,truck,L16,plain,12.6188,0.350115
GAM4,0.02,0.9,0,cat,L16,whiten,9.08107,0.162526
GAM4,0.02,0.9,0,deer,L16,whiten,11.7866,0.184829
GAM4,0.02,0.9,0,dog,L16,whiten,2.75657,0.0193452
GAM4,0.02,0.9,0,horse,L16,whiten,6.91831,0.135545
GAM4,0.02,0.9,0,airplane,L16,whiten,7.50415,0.0897149
GAM4,0.02,0.9,0,car,L16,whiten,11.0366,0.2138
GAM4,0.02,0.9,0,ship,L16,whiten,4.45072,0.0286401
GAM4,0.02,0.9,0,truck,L16,whiten,12.7015,0.354885
GAM4,0.02,0.9,0,cat,L16,ratio,9.01563,0.160199
GAM4,0.02,0.9,0,deer,L16,ratio,11.6905,0.180835
GAM4,0.02,0.9,0,dog,L16,ratio,2.71276,0.0188623
GAM4,0.02,0.9,0,horse,L16,ratio,6.86142,0.133293
GAM4,0.02,0.9,0,airplane,L16,ratio,7.44885,0.0885253
GAM4,0.02,0.9,0,car,L16,ratio,10.933,0.209285
GAM4,0.02,0.9,0,ship,L16,ratio,4.39565,0.0279124
GAM4,0.02,0.9,0,truck,L16,ratio,12.6183,0.350045
GAM4,0.02,0.9,0,cat,L32,plain,8.62782,0.147773
GAM4,0.02,0.9,0,deer,L32,plain,11.1413,0.15314
GAM4,0.02,0.9,0,dog,L32,plain,2.26866,0.0177942
GAM4,0.02,0.9,0,horse,L32,plain,6.46324,0.118908
GAM4,0.02,0.9,0,airplane,L32,plain,7.18415,0.0800435
GAM4,0.02,0.9,0,car,L32,plain,10.5773,0.197331
GAM4,0.02,0.9,0,ship,L32,plain,4.05125,0.0324515
GAM4,0.02,0.9,0,truck,L32,plain,12.3104,0.332882
GAM4,0.02,0.9,0,cat,L32,whiten,8.65295,0.148617
GAM4,0.02,0.9,0,deer,L32,whiten,11.1774,0.154568
GAM4,0.02,0.9,0,dog,L32,whiten,2.28752,0.0179869
GAM4,0.02,0.9,0,horse,L32,whiten,6.48529,0.119589
GAM4,0.02,0.9,0,airplane,L32,whiten,7.20744,0.0806529
GAM4,0.02,0.9,0,car,L32,whiten,10.6183,0.199045
GAM4,0.02,0.9,0,ship,L32,whiten,4.07244,0.0326944
GAM4,0.02,0.9,0,truck,L32,whiten,12.3459,0.334927
GAM4,0.02,0.9,0,cat,L32,ratio,8.62696,0.147702
GAM4,0.02,0.9,0,deer,L32,ratio,11.1476,0.153567
GAM4,0.02,0.9,0,dog,L32,ratio,2.26707,0.0177962
GAM4,0.02,0.9,0,horse,L32,ratio,6.46224,0.118644
GAM4,0.02,0.9,0,airplane,L32,ratio,7.17942,0.0800345
GAM4,0.02,0.9,0,car,L32,ratio,10.5756,0.197451
GAM4,0.02,0.9,0,ship,L32,ratio,4.05292,0.0325671
GAM4,0.02,0.9,0,truck,L32,ratio,12.3106,0.332947
GAM4,0.02,0.9,0,cat,L64,plain,8.39425,0.138633
GAM4,0.02,0.9,0,deer,L64,plain,10.8864,0.145622
GAM4,0.02,0.9,0,dog,L64,plain,2.01391,0.0169987
GAM4,0.02,0.9,0,horse,L64,plain,6.15472,0.107396
GAM4,0.02,0.9,0,airplane,L64,plain,6.94482,0.0716626
GAM4,0.02,0.9,0,car,L64,plain,10.304,0.188912
GAM4,0.02,0.9,0,ship,L64,plain,3.71972,0.0294495
GAM4,0.02,0.9,0,truck,L64,plain,11.9484,0.311137
GAM4,0.02,0.9,0,cat,L64,whiten,8.40641,0.139009
GAM4,0.02,0.9,0,deer,L64,whiten,10.9014,0.146198
GAM4,0.02,0.9,0,dog,L64,whiten,2.02208,0.0170818
GAM4,0.02,0.9,0,horse,L64,whiten,6.16252,0.107685
GAM4,0.02,0.9,0,airplane,L64,whiten,6.9551,0.0719301
GAM4,0.02,0.9,0,car,L64,whiten,10.3216,0.189608
GAM4,0.02,0.9,0,ship,L64,whiten,3.73023,0.0295781
GAM4,0.02,0.9,0,truck,L64,whiten,11.9622,0.311905
GAM4,0.02,0.9,0,cat,L64,ratio,8.39368,0.138581
GAM4,0.02,0.9,0,deer,L64,ratio,10.8918,0.145881
GAM4,0.02,0.9,0,dog,L64,ratio,2.01015,0.0169689
GAM4,0.02,0.9,0,horse,L64,ratio,6.1526,0.107256
GAM4,0.02,0.9,0,airplane,L64,ratio,6.94135,0.0716831
GAM4,0.02,0.9,0,car,L64,ratio,10.3034,0.188969
GAM4,0.02,0.9,0,ship,L64,ratio,3.71855,0.029492
GAM4,0.02,0.9,0,truck,L64,ratio,11.9477,0.311129
GAM4,0.02,0.9,0,cat,RAW,plain,13.9448,0.100684
GAM4,0.02,0.9,0,deer,RAW,plain,11.3685,0.128221
GAM4,0.02,0.9,0,dog,RAW,plain,18.1159,0.467285
GAM4,0.02,0.9,0,horse,RAW,plain,12.5393,0.150487
GAM4,0.02,0.9,0,airplane,RAW,plain,15.0141,0.327457
GAM4,0.02,0.9,0,car,RAW,plain,10.6827,0.0773188
GAM4,0.02,0.9,0,ship,RAW,plain,12.5309,0.404613
GAM4,0.02,0.9,0,truck,RAW,plain,12.5338,0.0532499
GAM4,0.02,0.9,0,cat,RAW,whiten,13.9448,0.100684
GAM4,0.02,0.9,0,deer,RAW,whiten,11.3685,0.128221
GAM4,0.02,0.9,0,dog,RAW,whiten,18.1159,0.467285
GAM4,0.02,0.9,0,horse,RAW,whiten,12.5393,0.150487
GAM4,0.02,0.9,0,airplane,RAW,whiten,15.0141,0.327457
GAM4,0.02,0.9,0,car,RAW,whiten,10.6827,0.0773188
GAM4,0.02,0.9,0,ship,RAW,whiten,12.5309,0.404613
GAM4,0.02,0.9,0,truck,RAW,whiten,12.5338,0.0532499
GAM4,0.02,0.9,0,cat,GLOBAL,plain,7.94502,0.124111
GAM4,0.02,0.9,0,deer,GLOBAL,plain,10.4759,0.129351
GAM4,0.02,0.9,0,dog,GLOBAL,plain,1.72096,0.0163941
GAM4,0.02,0.9,0,horse,GLOBAL,plain,5.76489,0.0913291
GAM4,0.02,0.9,0,airplane,GLOBAL,plain,6.60123,0.062234
GAM4,0.02,0.9,0,car,GLOBAL,plain,9.99042,0.173455
GAM4,0.02,0.9,0,ship,GLOBAL,plain,3.44677,0.0277299
GAM4,0.02,0.9,0,truck,GLOBAL,plain,11.5741,0.282693
GAM4,0.02,0.9,0,cat,GLOBAL,whiten,7.94502,0.124111
GAM4,0.02,0.9,0,deer,GLOBAL,whiten,10.4759,0.129351
GAM4,0.02,0.9,0,dog,GLOBAL,whiten,1.72096,0.0163941
GAM4,0.02,0.9,0,horse,GLOBAL,whiten,5.76489,0.0913291
GAM4,0.02,0.9,0,airplane,GLOBAL,whiten,6.60123,0.062234
GAM4,0.02,0.9,0,car,GLOBAL,whiten,9.99042,0.173455
GAM4,0.02,0.9,0,ship,GLOBAL,whiten,3.44677,0.0277299
GAM4,0.02,0.9,0,truck,GLOBAL,whiten,11.5741,0.282693
GAM4,0.05,0.99,0,cat,L2,plain,8.7246,0.148116
GAM4,0.05,0.99,0,deer,L2,plain,11.3916,0.1736
GAM4,0.05,0.99,0,dog,L2,plain,2.44148,0.0144298
GAM4,0.05,0.99,0,horse,L2,plain,6.85363,0.135029
GAM4,0.05,0.99,0,airplane,L2,plain,7.06703,0.0728069
GAM4,0.05,0.99,0,car,L2,plain,10.7884,0.204281
GAM4,0.05,0.99,0,ship,L2,plain,4.0435,0.0421564
GAM4,0.05,0.99,0,truck,L2,plain,12.2518,0.337128
GAM4,0.05,0.99,0,cat,L2,whiten,9.26871,0.163653
GAM4,0.05,0.99,0,deer,L2,whiten,12.2224,0.202541
GAM4,0.05,0.99,0,dog,L2,whiten,2.90398,0.0177575
GAM4,0.05,0.99,0,horse,L2,whiten,7.41192,0.15251
GAM4,0.05,0.99,0,airplane,L2,whiten,7.53769,0.0840238
GAM4,0.05,0.99,0,car,L2,whiten,11.6706,0.240053
GAM4,0.05,0.99,0,ship,L2,whiten,4.52538,0.0497973
GAM4,0.05,0.99,0,truck,L2,whiten,13.1058,0.384799
GAM4,0.05,0.99,0,cat,L2,ratio,8.72541,0.14778
GAM4,0.05,0.99,0,deer,L2,ratio,11.3932,0.173678
GAM4,0.05,0.99,0,dog,L2,ratio,2.43609,0.0142877
GAM4,0.05,0.99,0,horse,L2,ratio,6.85433,0.135014
GAM4,0.05,0.99,0,airplane,L2,ratio,7.06063,0.0727288
GAM4,0.05,0.99,0,car,L2,ratio,10.8001,0.204542
GAM4,0.05,0.99,0,ship,L2,ratio,4.03364,0.0423448
GAM4,0.05,0.99,0,truck,L2,ratio,12.2635,0.337724
GAM4,0.05,0.99,0,cat,L4,plain,9.55432,0.17712
GAM4,0.05,0.99,0,deer,L4,plain,12.3166,0.205703
GAM4,0.05,0.99,0,dog,L4,plain,3.28835,0.0203609
GAM4,0.05,0.99,0,horse,L4,plain,7.50419,0.158815
GAM4,0.05,0.99,0,airplane,L4,plain,7.86961,0.0991376
GAM4,0.05,0.99,0,car,L4,plain,11.7015,0.247268
GAM4,0.05,0.99,0,ship,L4,plain,4.93168,0.0496954
GAM4,0.05,0.99,0,truck,L4,plain,13.1507,0.390271
GAM4,0.05,0.99,0,cat,L4,whiten,9.96291,0.192811
GAM4,0.05,0.99,0,deer,L4,whiten,12.8614,0.227778
GAM4,0.05,0.99,0,dog,L4,whiten,3.60729,0.0220551
GAM4,0.05,0.99,0,horse,L4,whiten,7.87051,0.17225
GAM4,0.05,0.99,0,airplane,L4,whiten,8.17473,0.105705
GAM4,0.05,0.99,0,car,L4,whiten,12.2549,0.270797
GAM4,0.05,0.99,0,ship,L4,whiten,5.29191,0.054757
GAM4,0.05,0.99,0,truck,L4,whiten,13.7045,0.42199
GAM4,0.05,0.99,0,cat,L4,ratio,9.55308,0.17672
GAM4,0.05,0.99,0,deer,L4,ratio,12.3281,0.206355
