shard_id,stage,kind,arm,image,seed,rho_bar_or_b,nu,pattern_or_cert,cell_id,descriptive
M1_CERT_05,M1_CERT,cert,CERT,m1_microtexture_0,1,0.6,2000.0,m1_cert,M1_CERT_05_c0012,
M1_CERT_05,M1_CERT,cert,CERT,m1_spokes_3,4,0.05,200.0,m1_cert,M1_CERT_05_c0013,
M1_CERT_05,M1_CERT,cert,CERT,m1_spokes_3,4,0.6,200.0,m1_cert,M1_CERT_05_c0014,
M1_CERT_05,M1_CERT,cert,CERT,m1_spokes_3,4,0.05,2000.0,m1_cert,M1_CERT_05_c0015,
M1_CERT_05,M1_CERT,cert,CERT,m1_spokes_3,4,0.6,2000.0,m1_cert,M1_CERT_05_c0016,
M1_CERT_06,M1_CERT,cert,CERT,m1_chirp_1,1,0.05,200.0,m1_cert,M1_CERT_06_c0001,
M1_CERT_06,M1_CERT,cert,CERT,m1_chirp_1,1,0.6,200.0,m1_cert,M1_CERT_06_c0002,
M1_CERT_06,M1_CERT,cert,CERT,m1_chirp_1,1,0.05,2000.0,m1_cert,M1_CERT_06_c0003,
M1_CERT_06,M1_CERT,cert,CERT,m1_chirp_1,1,0.6,2000.0,m1_cert,M1_CERT_06_c0004,
M1_CERT_06,M1_CERT,cert,CERT,m1_glyph_0,4,0.05,200.0,m1_cert,M1_CERT_06_c0005,
M1_CERT_06,M1_CERT,cert,CERT,m1_glyph_0,4,0.6,200.0,m1_cert,M1_CERT_06_c0006,
M1_CERT_06,M1_CERT,cert,CERT,m1_glyph_0,4,0.05,2000.0,m1_cert,M1_CERT_06_c0007,
M1_CERT_06,M1_CERT,cert,CERT,m1_glyph_0,4,0.6,2000.0,m1_cert,M1_CERT_06_c0008,
M1_CERT_06,M1_CERT,cert,CERT,m1_microtexture_0,2,0.05,200.0,m1_cert,M1_CERT_06_c0009,
M1_CERT_06,M1_CERT,cert,CERT,m1_microtexture_0,2,0.6,200.0,m1_cert,M1_CERT_06_c0010,
M1_CERT_06,M1_CERT,cert,CERT,m1_microtexture_0,2,0.05,2000.0,m1_cert,M1_CERT_06_c0011,
M1_CERT_06,M1_CERT,cert,CERT,m1_microtexture_0,2,0.6,2000.0,m1_cert,M1_CERT_06_c0012,
M1_CERT_07,M1_CERT,cert,CERT,m1_chirp_1,2,0.05,200.0,m1_cert,M1_CERT_07_c0001,
M1_CERT_07,M1_CERT,cert,CERT,m1_chirp_1,2,0.6,200.0,m1_cert,M1_CERT_07_c0002,
M1_CERT_07,M1_CERT,cert,CERT,m1_chirp_1,2,0.05,2000.0,m1_cert,M1_CERT_07_c0003,
M1_CERT_07,M1_CERT,cert,CERT,m1_chirp_1,2,0.6,2000.0,m1_cert,M1_CERT_07_c0004,
M1_CERT_07,M1_CERT,cert,CERT,m1_glyph_1,0,0.05,200.0,m1_cert,M1_CERT_07_c0005,
M1_CERT_07,M1_CERT,cert,CERT,m1_glyph_1,0,0.6,200.0,m1_cert,M1_CERT_07_c0006,
M1_CERT_07,M1_CERT,cert,CERT,m1_glyph_1,0,0.05,2000.0,m1_cert,M1_CERT_07_c0007,
M1_CERT_07,M1_CERT,cert,CERT,m1_glyph_1,0,0.6,2000.0,m1_cert,M1_CERT_07_c0008,
M1_CERT_07,M1_CERT,cert,CERT,m1_microtexture_0,3,0.05,200.0,m1_cert,M1_CERT_07_c0009,
M1_CERT_07,M1_CERT,cert,CERT,m1_microtexture_0,3,0.6,200.0,m1_cert,M1_CERT_07_c0010,
M1_CERT_07,M1_CERT,cert,CERT,m1_microtexture_0,3,0.05,2000.0,m1_cert,M1_CERT_07_c0011,
M1_CERT_07,M1_CERT,cert,CERT,m1_microtexture_0,3,0.6,2000.0,m1_cert,M1_CERT_07_c0012,
M1_CERT_08,M1_CERT,cert,CERT,m1_chirp_1,3,0.05,200.0,m1_cert,M1_CERT_08_c0001,
M1_CERT_08,M1_CERT,cert,CERT,m1_chirp_1,3,0.6,200.0,m1_cert,M1_CERT_08_c0002,
M1_CERT_08,M1_CERT,cert,CERT,m1_chirp_1,3,0.05,2000.0,m1_cert,M1_CERT_08_c0003,
M1_CERT_08,M1_CERT,cert,CERT,m1_chirp_1,3,0.6,2000.0,m1_cert,M1_CERT_08_c0004,
M1_CERT_08,M1_CERT,cert,CERT,m1_glyph_1,1,0.05,200.0,m1_cert,M1_CERT_08_c0005,
M1_CERT_08,M1_CERT,cert,CERT,m1_glyph_1,1,0.6,200.0,m1_cert,M1_CERT_08_c0006,
M1_CERT_08,M1_CERT,cert,CERT,m1_glyph_1,1,0.05,2000.0,m1_cert,M1_CERT_08_c0007,
M1_CERT_08,M1_CERT,cert,CERT,m1_glyph_1,1,0.6,2000.0,m1_cert,M1_CERT_08_c0008,
M1_CERT_08,M1_CERT,cert,CERT,m1_microtexture_0,4,0.05,200.0,m1_cert,M1_CERT_08_c0009,
M1_CERT_08,M1_CERT,cert,CERT,m1_microtexture_0,4,0.6,200.0,m1_cert,M1_CERT_08_c0010,
M1_CERT_08,M1_CERT,cert,CERT,m1_microtexture_0,4,0.05,2000.0,m1_cert,M1_CERT_08_c0011,
M1_CERT_08,M1_CERT,cert,CERT,m1_microtexture_0,4,0.6,2000.0,m1_cert,M1_CERT_08_c0012,
M1_CERT_09,M1_CERT,cert,CERT,m1_chirp_1,4,0.05,200.0,m1_cert,M1_CERT_09_c0001,
M1_CERT_09,M1_CERT,cert,CERT,m1_chirp_1,4,0.6,200.0,m1_cert,M1_CERT_09_c0002,
M1_CERT_09,M1_CERT,cert,CERT,m1_chirp_1,4,0.05,2000.0,m1_cert,M1_CERT_09_c0003,
M1_CERT_09,M1_CERT,cert,CERT,m1_chirp_1,4,0.6,2000.0,m1_cert,M1_CERT_09_c0004,
M1_CERT_09,M1_CERT,cert,CERT,m1_glyph_1,2,0.05,200.0,m1_cert,M1_CERT_09_c0005,
M1_CERT_09,M1_CERT,cert,CERT,m1_glyph_1,2,0.6,200.0,m1_cert,M1_CERT_09_c0006,
M1_CERT_09,M1_CERT,cert,CERT,m1_glyph_1,2,0.05,2000.0,m1_cert,M1_CERT_09_c0007,
M1_CERT_09,M1_CERT,cert,CERT,m1_glyph_1,2,0.6,2000.0,m1_cert,M1_CERT_09_c0008,
M1_CERT_09,M1_CERT,cert,CERT,m1_microtexture_1,0,0.05,200.0,m1_cert,M1_CERT_09_c0009,
M1_CERT_09,M1_CERT,cert,CERT,m1_microtexture_1,0,0.6,200.0,m1_cert,M1_CERT_09_c0010,
M1_CERT_09,M1_CERT,cert,CERT,m1_microtexture_1,0,0.05,2000.0,m1_cert,M1_CERT_09_c0011,
M1_CERT_09,M1_CERT,cert,CERT,m1_microtexture_1,0,0.6,2000.0,m1_cert,M1_CERT_09_c0012,
M1_CERT_10,M1_CERT,cert,CERT,m1_chirp_2,0,0.05,200.0,m1_cert,M1_CERT_10_c0001,
