side,pattern,rho_bar,nu,M,seed,image,arm,PSNR,SSIM,LPIPS,rad_nrmse,flux_dev,lam_tv,mean_counts,optical_time_s,dark_frac,tau_err,runtime_s,select_runtime_s,eta_star,PSNR_rad,audit_status,d_ratio,q_d,q_mean,leak_suspect
64,bern50,0.05,20.0,2048,1,dev_text,PRECORRECT,12.8398,0.72447,,1.0,-1.0,65225888731717.805,0.95,0.002048,0.0,0.0,62.3,62.302,1.0,12.8398,,,,,
64,bern50,0.05,20.0,2048,1,dev_text,GI,12.726,0.01337,,,,,0.95,0.002048,0.0,0.0,0.05,,,,,,,,
64,bern50,0.05,20.0,2048,1,dev_fine_lines,RQL,6.0894,0.00365,,0.75001,-0.01313,0.096205,0.94,0.002048,0.0,0.0,139.24,139.238,1.0,6.0889,OK,0.8593,0.925,0.075,False
64,bern50,0.05,20.0,2048,1,dev_fine_lines,POISSON-LIN,6.0968,0.00454,,0.7502,-0.05965,0.04704,0.94,0.002048,0.0,0.0,126.53,126.53,1.0,6.0867,,,,,
64,bern50,0.05,20.0,2048,1,dev_fine_lines,SAT-POISSON,6.1041,0.00372,,0.74876,-0.01307,0.091425,0.94,0.002048,0.0,0.0,102.41,102.408,1.0,6.1033,,,,,
64,bern50,0.05,20.0,2048,1,dev_fine_lines,PRECORRECT,3.5902,0.0,,1.0,-1.0,65550420757970.38,0.94,0.002048,0.0,0.0,61.9,61.898,1.0,3.5902,,,,,
64,bern50,0.05,20.0,2048,1,dev_fine_lines,GI,1.7305,-0.01474,,,,,0.94,0.002048,0.0,0.0,0.05,,,,,,,,
64,bern50,0.05,50.0,2048,0,dev_stl_00,RQL,18.4705,0.27427,,0.23726,-0.00714,0.100703,2.36,0.0051199999999999996,0.0,0.0,147.46,146.458,1.0,18.4669,OK,0.9218,0.825,0.4,False
64,bern50,0.05,50.0,2048,0,dev_stl_00,POISSON-LIN,18.488,0.27253,,0.24249,-0.05407,0.072933,2.36,0.0051199999999999996,0.0,0.0,128.49,128.492,1.0,18.2776,,,,,
64,bern50,0.05,50.0,2048,0,dev_stl_00,SAT-POISSON,18.4981,0.27288,,0.23652,-0.00715,0.118089,2.36,0.0051199999999999996,0.0,0.0,108.5,108.494,1.0,18.4941,,,,,
64,bern50,0.05,50.0,2048,0,dev_stl_00,PRECORRECT,5.9715,0.00012,,1.0,-1.0,62027400512470.58,2.36,0.0051199999999999996,0.0,0.0,63.36,63.358,1.0,5.9715,,,,,
64,bern50,0.05,50.0,2048,0,dev_stl_00,GI,2.9973,0.00303,,,,,2.36,0.0051199999999999996,0.0,0.0,0.06,,,,,,,,
64,bern50,0.05,50.0,2048,0,dev_stl_01,RQL,15.9091,0.15316,,0.30571,-0.02758,0.079368,2.32,0.0051199999999999996,0.0,0.0,160.17,160.167,1.0,15.8787,OK,1.045,0.25,0.4,False
64,bern50,0.05,50.0,2048,0,dev_stl_01,POISSON-LIN,15.9032,0.15308,,0.31249,-0.0729,0.075967,2.32,0.0051199999999999996,0.0,0.0,124.46,124.464,1.0,15.6883,,,,,
64,bern50,0.05,50.0,2048,0,dev_stl_01,SAT-POISSON,15.8962,0.15258,,0.30615,-0.02758,0.069257,2.32,0.0051199999999999996,0.0,0.0,124.26,124.257,1.0,15.8663,,,,,
64,bern50,0.05,50.0,2048,0,dev_stl_01,PRECORRECT,5.585,8e-05,,1.0,-1.0,60220208394160.37,2.32,0.0051199999999999996,0.0,0.0,61.52,61.52,1.0,5.585,,,,,
64,bern50,0.05,50.0,2048,0,dev_stl_01,GI,2.4459,0.0008,,,,,2.32,0.0051199999999999996,0.0,0.0,0.05,,,,,,,,
64,bern50,0.05,50.0,2048,0,dev_stl_02,RQL,14.895,0.14067,,0.37537,0.00555,0.102667,2.39,0.0051199999999999996,0.0,0.0,149.58,149.574,1.0,14.894,OK,1.0181,0.425,0.925,False
64,bern50,0.05,50.0,2048,0,dev_stl_02,POISSON-LIN,14.928,0.14165,,0.37597,-0.04255,0.098027,2.39,0.0051199999999999996,0.0,0.0,121.12,121.119,1.0,14.8802,,,,,
64,bern50,0.05,50.0,2048,0,dev_stl_02,SAT-POISSON,14.9227,0.14083,,0.37417,0.00558,0.081633,2.39,0.0051199999999999996,0.0,0.0,124.04,124.036,1.0,14.9218,,,,,
64,bern50,0.05,50.0,2048,0,dev_stl_02,PRECORRECT,6.3832,0.00016,,1.0,-1.0,62806564553517.97,2.39,0.0051199999999999996,0.0,0.0,61.41,61.405,1.0,6.3832,,,,,
64,bern50,0.05,50.0,2048,0,dev_stl_02,GI,3.4276,-0.00372,,,,,2.39,0.0051199999999999996,0.0,0.0,0.05,,,,,,,,
64,bern50,0.05,50.0,2048,0,dev_stl_03,RQL,14.7879,0.14862,,0.6589,0.00599,0.081869,2.39,0.0051199999999999996,0.0,0.0,159.42,159.417,1.0,14.7878,OK,0.9486,0.775,0.6,False
64,bern50,0.05,50.0,2048,0,dev_stl_03,POISSON-LIN,14.7833,0.14862,,0.66004,-0.04216,0.077224,2.39,0.0051199999999999996,0.0,0.0,129.44,129.434,1.0,14.7727,,,,,
64,bern50,0.05,50.0,2048,0,dev_stl_03,SAT-POISSON,14.7772,0.14839,,0.65971,0.006,0.071366,2.39,0.0051199999999999996,0.0,0.0,127.21,127.208,1.0,14.777,,,,,
64,bern50,0.05,50.0,2048,0,dev_stl_03,PRECORRECT,11.1641,0.00429,,1.0,-1.0,62537491358388.18,2.39,0.0051199999999999996,0.0,0.0,61.84,61.841,1.0,11.1641,,,,,
64,bern50,0.05,50.0,2048,0,dev_stl_03,GI,9.1458,0.01586,,,,,2.39,0.0051199999999999996,0.0,0.0,0.06,,,,,,,,
64,bern50,0.05,50.0,2048,0,dev_text,RQL,13.075,0.02728,,0.97328,-0.00326,0.113132,2.37,0.0051199999999999996,0.0,0.0,151.79,151.788,1.0,13.075,OK,1.0398,0.25,0.05,False
64,bern50,0.05,50.0,2048,0,dev_text,POISSON-LIN,13.08,0.02747,,0.97284,-0.05058,0.09571,2.37,0.0051199999999999996,0.0,0.0,126.78,126.777,1.0,13.0789,,,,,
64,bern50,0.05,50.0,2048,0,dev_text,SAT-POISSON,13.0791,0.02742,,0.97283,-0.00329,0.084095,2.37,0.0051199999999999996,0.0,0.0,123.64,123.636,1.0,13.0791,,,,,
64,bern50,0.05,50.0,2048,0,dev_text,PRECORRECT,12.8398,0.72447,,1.0,-1.0,60289310349298.33,2.37,0.0051199999999999996,0.0,0.0,62.12,62.124,1.0,12.8398,,,,,
64,bern50,0.05,50.0,2048,0,dev_text,GI,12.8499,0.01561,,,,,2.37,0.0051199999999999996,0.0,0.0,0.05,,,,,,,,
64,bern50,0.05,50.0,2048,0,dev_fine_lines,RQL,6.0673,0.00361,,0.7519,0.0075,0.097583,2.4,0.0051199999999999996,0.0,0.0,144.85,144.853,1.0,6.067,OK,0.9638,0.625,0.375,False
64,bern50,0.05,50.0,2048,0,dev_fine_lines,POISSON-LIN,6.0647,0.0036,,0.7525,-0.04078,0.095201,2.4,0.0051199999999999996,0.0,0.0,113.29,113.285,1.0,6.0601,,,,,
64,bern50,0.05,50.0,2048,0,dev_fine_lines,SAT-POISSON,6.0687,0.00362,,0.75179,0.00754,0.086993,2.4,0.0051199999999999996,0.0,0.0,111.67,111.668,1.0,6.0683,,,,,
64,bern50,0.05,50.0,2048,0,dev_fine_lines,PRECORRECT,3.5902,0.0,,1.0,-1.0,62172100497761.42,2.4,0.0051199999999999996,0.0,0.0,62.15,62.147,1.0,3.5902,,,,,
64,bern50,0.05,50.0,2048,0,dev_fine_lines,GI,1.9173,0.01983,,,,,2.4,0.0051199999999999996,0.0,0.0,0.05,,,,,,,,
64,bern50,0.05,50.0,2048,1,dev_stl_00,RQL,18.306,0.274,,0.24184,0.00736,0.072294,2.4,0.0051199999999999996,0.0,0.0,164.34,164.338,1.0,18.3011,OK,0.944,0.825,0.175,False
64,bern50,0.05,50.0,2048,1,dev_stl_00,POISSON-LIN,18.2983,0.274,,0.24498,-0.04094,0.072106,2.4,0.0051199999999999996,0.0,0.0,123.35,123.348,1.0,18.1889,,,,,
64,bern50,0.05,50.0,2048,1,dev_stl_00,SAT-POISSON,18.3184,0.27432,,0.24149,0.00739,0.065533,2.4,0.0051199999999999996,0.0,0.0,122.21,122.209,1.0,18.3136,,,,,
