image,illum,link,photons,seed,method,PSNR,SSIM,LPIPS,angerr,pearson
deer,GAM4,SAT30,10000.0,0,SIR-10,11.6216,0.175793,0.697569,34.7666,0.620147
dog,GAM4,SAT30,10000.0,0,SIR-10,2.76566,0.0184347,1.20509,39.5048,0.126446
horse,GAM4,SAT30,10000.0,0,SIR-10,6.77915,0.123123,0.945241,38.9875,0.334422
airplane,GAM4,SAT30,10000.0,0,SIR-10,7.24069,0.0741069,1.05902,39.4796,0.285017
car,GAM4,SAT30,10000.0,0,SIR-10,11.1396,0.226689,0.92965,35.3252,0.60903
ship,GAM4,SAT30,10000.0,0,SIR-10,4.14996,0.0403761,1.20488,39.8,0.250506
truck,GAM4,SAT30,10000.0,0,SIR-10,12.6733,0.366944,0.752579,35.5031,0.593615
cat,GAM4,SAT30,10000.0,0,SIR-20,8.88176,0.147941,0.982737,38.3049,0.38442
deer,GAM4,SAT30,10000.0,0,SIR-20,11.6894,0.179248,0.700751,34.52,0.624677
dog,GAM4,SAT30,10000.0,0,SIR-20,2.7941,0.0182243,1.17969,39.4125,0.126911
horse,GAM4,SAT30,10000.0,0,SIR-20,6.78254,0.122718,0.947463,38.9673,0.33543
airplane,GAM4,SAT30,10000.0,0,SIR-20,7.32548,0.0753555,1.06386,39.1841,0.290109
car,GAM4,SAT30,10000.0,0,SIR-20,11.1882,0.229603,0.942391,35.1304,0.613003
ship,GAM4,SAT30,10000.0,0,SIR-20,4.13434,0.0397203,1.20739,39.8645,0.248318
truck,GAM4,SAT30,10000.0,0,SIR-20,12.7515,0.371332,0.751416,35.1854,0.600383
cat,GAM4,SAT30,10000.0,0,WHITEN-LW,8.92136,0.151047,0.968799,38.1107,0.391763
deer,GAM4,SAT30,10000.0,0,WHITEN-LW,11.7447,0.182444,0.718936,34.3391,0.62753
dog,GAM4,SAT30,10000.0,0,WHITEN-LW,2.84081,0.0179479,1.18509,39.2656,0.126319
horse,GAM4,SAT30,10000.0,0,WHITEN-LW,6.882,0.125454,0.953848,38.6206,0.341364
airplane,GAM4,SAT30,10000.0,0,WHITEN-LW,7.36873,0.0760271,1.0701,39.0213,0.294198
car,GAM4,SAT30,10000.0,0,WHITEN-LW,11.2903,0.233581,0.943407,34.7709,0.61924
ship,GAM4,SAT30,10000.0,0,WHITEN-LW,4.16881,0.0395922,1.20705,39.7614,0.248113
truck,GAM4,SAT30,10000.0,0,WHITEN-LW,12.8012,0.37482,0.747957,34.9901,0.604392
cat,GAM4,SAT30,10000.0,0,WHITEN-OR,8.92136,0.151047,0.968799,38.1107,0.391763
deer,GAM4,SAT30,10000.0,0,WHITEN-OR,11.7447,0.182444,0.718936,34.3391,0.62753
dog,GAM4,SAT30,10000.0,0,WHITEN-OR,2.84081,0.0179479,1.18509,39.2656,0.126319
horse,GAM4,SAT30,10000.0,0,WHITEN-OR,6.882,0.125454,0.953848,38.6206,0.341364
airplane,GAM4,SAT30,10000.0,0,WHITEN-OR,7.36873,0.0760271,1.0701,39.0213,0.294198
car,GAM4,SAT30,10000.0,0,WHITEN-OR,11.2903,0.233581,0.943407,34.7709,0.61924
ship,GAM4,SAT30,10000.0,0,WHITEN-OR,4.16881,0.0395922,1.20705,39.7614,0.248113
truck,GAM4,SAT30,10000.0,0,WHITEN-OR,12.8012,0.37482,0.747957,34.9901,0.604392
cat,GAM4,SAT30,10000.0,0,SCORE-OR,7.55198,0.101281,1.00493,43.1801,0.293627
deer,GAM4,SAT30,10000.0,0,SCORE-OR,10.111,0.124876,0.797163,40.7738,0.502693
dog,GAM4,SAT30,10000.0,0,SCORE-OR,1.33868,0.0110674,1.18325,44.2339,0.0932222
horse,GAM4,SAT30,10000.0,0,SCORE-OR,5.52058,0.0890659,0.999892,43.4491,0.263528
airplane,GAM4,SAT30,10000.0,0,SCORE-OR,5.99712,0.0510252,1.07066,43.9103,0.211562
car,GAM4,SAT30,10000.0,0,SCORE-OR,9.49024,0.157413,1.05483,42.301,0.464449
ship,GAM4,SAT30,10000.0,0,SCORE-OR,2.90769,0.0229737,1.15874,44.3014,0.169999
truck,GAM4,SAT30,10000.0,0,SCORE-OR,11.0864,0.260201,0.883464,41.8281,0.469605
cat,GAM4,SAT30,10000.0,0,RANKG,8.81391,0.146926,0.957845,38.476,0.385922
deer,GAM4,SAT30,10000.0,0,RANKG,11.6203,0.177739,0.727688,34.7433,0.621257
dog,GAM4,SAT30,10000.0,0,RANKG,2.66331,0.0167709,1.18204,39.8488,0.121318
horse,GAM4,SAT30,10000.0,0,RANKG,6.8118,0.123522,0.95844,38.8684,0.33686
airplane,GAM4,SAT30,10000.0,0,RANKG,7.25008,0.0742258,1.07514,39.4156,0.289271
car,GAM4,SAT30,10000.0,0,RANKG,11.139,0.226987,0.958282,35.3666,0.607276
ship,GAM4,SAT30,10000.0,0,RANKG,4.09125,0.0385396,1.17751,40.0351,0.243252
truck,GAM4,SAT30,10000.0,0,RANKG,12.6269,0.362868,0.761947,35.6002,0.593796
cat,GAM4,SAT30,10000.0,0,L-ISOTRON,8.92136,0.151047,0.968799,38.1107,0.391763
deer,GAM4,SAT30,10000.0,0,L-ISOTRON,11.7447,0.182444,0.718936,34.3391,0.62753
dog,GAM4,SAT30,10000.0,0,L-ISOTRON,2.84081,0.0179479,1.18509,39.2656,0.126319
horse,GAM4,SAT30,10000.0,0,L-ISOTRON,6.8822,0.125459,0.953846,38.62,0.341374
airplane,GAM4,SAT30,10000.0,0,L-ISOTRON,7.36894,0.0760322,1.07009,39.0206,0.29421
car,GAM4,SAT30,10000.0,0,L-ISOTRON,11.2903,0.233581,0.943407,34.7709,0.61924
ship,GAM4,SAT30,10000.0,0,L-ISOTRON,4.16881,0.0395922,1.20705,39.7614,0.248113
truck,GAM4,SAT30,10000.0,0,L-ISOTRON,12.8012,0.37482,0.747957,34.9901,0.604392
cat,GAM4,SAT30,10000.0,0,MLE-OR,12.8167,0.209173,0.979706,27.5862,0.391888
deer,GAM4,SAT30,10000.0,0,MLE-OR,13.5087,0.223247,0.735911,30.3283,0.627534
dog,GAM4,SAT30,10000.0,0,MLE-OR,7.88135,0.0315837,1.1337,24.7232,0.126274
horse,GAM4,SAT30,10000.0,0,MLE-OR,10.7929,0.167655,0.96227,27.7666,0.341398
airplane,GAM4,SAT30,10000.0,0,MLE-OR,11.9138,0.116378,1.05293,26.3069,0.294184
car,GAM4,SAT30,10000.0,0,MLE-OR,12.7785,0.263067,0.947433,31.2767,0.619328
ship,GAM4,SAT30,10000.0,0,MLE-OR,8.723,0.0628124,1.16881,26.7435,0.248076
truck,GAM4,SAT30,10000.0,0,MLE-OR,14.4685,0.40147,0.796811,31.0214,0.6044
cat,GAM4,SAT50,10000.0,0,GI,7.13722,0.0882746,0.980829,44.6664,0.271971
deer,GAM4,SAT50,10000.0,0,GI,9.69507,0.117389,0.799117,42.6277,0.463526
dog,GAM4,SAT50,10000.0,0,GI,0.93887,0.00964294,1.22191,45.5595,0.0873389
horse,GAM4,SAT50,10000.0,0,GI,4.88551,0.0781479,0.997214,45.9255,0.214859
airplane,GAM4,SAT50,10000.0,0,GI,5.90299,0.0389852,1.04968,44.2463,0.206696
car,GAM4,SAT50,10000.0,0,GI,9.04652,0.13928,1.01138,44.3058,0.422391
ship,GAM4,SAT50,10000.0,0,GI,2.50111,0.0216866,1.22825,45.535,0.174351
truck,GAM4,SAT50,10000.0,0,GI,10.6719,0.226841,0.935093,43.8939,0.420226
cat,GAM4,SAT50,10000.0,0,DGI,0.61087,0.0357682,1.00375,62.8349,0.214521
deer,GAM4,SAT50,10000.0,0,DGI,4.08971,0.0622801,0.797741,55.5512,0.417115
dog,GAM4,SAT50,10000.0,0,DGI,-5.60126,0.00464372,1.20113,65.0057,0.0720344
horse,GAM4,SAT50,10000.0,0,DGI,-1.74673,0.029824,0.979519,64.8744,0.147197
airplane,GAM4,SAT50,10000.0,0,DGI,-0.744049,0.0154948,1.11196,63.2091,0.179504
car,GAM4,SAT50,10000.0,0,DGI,3.76894,0.0786439,0.968459,57.107,0.368936
ship,GAM4,SAT50,10000.0,0,DGI,-4.09805,0.00952972,1.21953,64.6266,0.131429
truck,GAM4,SAT50,10000.0,0,DGI,5.25075,0.12234,0.954386,57.4528,0.356835
cat,GAM4,SAT50,10000.0,0,CORR,6.71397,0.0715051,1.05836,46.3589,0.237778
deer,GAM4,SAT50,10000.0,0,CORR,9.29665,0.102635,0.817285,44.3616,0.42883
dog,GAM4,SAT50,10000.0,0,CORR,0.669905,0.00812045,1.23317,46.4789,0.0769416
horse,GAM4,SAT50,10000.0,0,CORR,4.50081,0.0657801,1.00796,47.4321,0.186837
airplane,GAM4,SAT50,10000.0,0,CORR,5.50276,0.0369171,1.04731,45.6948,0.184815
car,GAM4,SAT50,10000.0,0,CORR,8.69123,0.125056,1.05312,45.9985,0.385555
ship,GAM4,SAT50,10000.0,0,CORR,2.17845,0.0187977,1.22132,46.7043,0.157048
truck,GAM4,SAT50,10000.0,0,CORR,10.1889,0.203364,0.935684,45.9738,0.379838
cat,GAM4,SAT50,10000.0,0,SIR-10,7.04714,0.0842223,1.01903,45.0245,0.264697
deer,GAM4,SAT50,10000.0,0,SIR-10,9.59902,0.116286,0.801969,42.9739,0.458325
dog,GAM4,SAT50,10000.0,0,SIR-10,0.859003,0.00902145,1.23851,45.8318,0.0844045
horse,GAM4,SAT50,10000.0,0,SIR-10,4.78048,0.0765762,0.980703,46.3404,0.206773
airplane,GAM4,SAT50,10000.0,0,SIR-10,5.83631,0.0385568,1.07663,44.4886,0.202855
car,GAM4,SAT50,10000.0,0,SIR-10,8.9347,0.134232,1.02669,44.8486,0.41023
ship,GAM4,SAT50,10000.0,0,SIR-10,2.38465,0.0208971,1.22909,46.0002,0.163341
truck,GAM4,SAT50,10000.0,0,SIR-10,10.5487,0.219866,0.942756,44.3946,0.411202
cat,GAM4,SAT50,10000.0,0,SIR-20,7.02876,0.0847658,1.02878,45.0766,0.264852
deer,GAM4,SAT50,10000.0,0,SIR-20,9.65164,0.116205,0.796366,42.8107,0.459971
dog,GAM4,SAT50,10000.0,0,SIR-20,0.803942,0.00959974,1.24689,45.992,0.088951
horse,GAM4,SAT50,10000.0,0,SIR-20,4.72172,0.0757668,0.988181,46.509,0.207543
airplane,GAM4,SAT50,10000.0,0,SIR-20,5.74081,0.0380118,1.10169,44.7969,0.201442
car,GAM4,SAT50,10000.0,0,SIR-20,8.96435,0.133526,1.01509,44.7447,0.411553
ship,GAM4,SAT50,10000.0,0,SIR-20,2.39516,0.0214435,1.22534,45.9533,0.164864
truck,GAM4,SAT50,10000.0,0,SIR-20,10.5799,0.218404,0.947206,44.2863,0.412594
cat,GAM4,SAT50,10000.0,0,WHITEN-LW,7.13722,0.0882746,0.980829,44.6664,0.271971
deer,GAM4,SAT50,10000.0,0,WHITEN-LW,9.69507,0.117389,0.799117,42.6277,0.463526
dog,GAM4,SAT50,10000.0,0,WHITEN-LW,0.93887,0.00964294,1.22191,45.5595,0.0873389
horse,GAM4,SAT50,10000.0,0,WHITEN-LW,4.88551,0.0781479,0.997214,45.9255,0.214859
airplane,GAM4,SAT50,10000.0,0,WHITEN-LW,5.90299,0.0389852,1.04968,44.2463,0.206696
car,GAM4,SAT50,10000.0,0,WHITEN-LW,9.04652,0.13928,1.01138,44.3058,0.422391
ship,GAM4,SAT50,10000.0,0,WHITEN-LW,2.50111,0.0216866,1.22825,45.535,0.174351
truck,GAM4,SAT50,10000.0,0,WHITEN-LW,10.6719,0.226841,0.935093,43.8939,0.420226
cat,GAM4,SAT50,10000.0,0,WHITEN-OR,7.13722,0.0882746,0.980829,44.6664,0.271971
deer,GAM4,SAT50,10000.0,0,WHITEN-OR,9.69507,0.117389,0.799117,42.6277,0.463526
dog,GAM4,SAT50,10000.0,0,WHITEN-OR,0.93887,0.00964294,1.22191,45.5595,0.0873389
horse,GAM4,SAT50,10000.0,0,WHITEN-OR,4.88551,0.0781479,0.997214,45.9255,0.214859
airplane,GAM4,SAT50,10000.0,0,WHITEN-OR,5.90299,0.0389852,1.04968,44.2463,0.206696
car,GAM4,SAT50,10000.0,0,WHITEN-OR,9.04652,0.13928,1.01138,44.3058,0.422391
ship,GAM4,SAT50,10000.0,0,WHITEN-OR,2.50111,0.0216866,1.22825,45.535,0.174351
truck,GAM4,SAT50,10000.0,0,WHITEN-OR,10.6719,0.226841,0.935093,43.8939,0.420226
cat,GAM4,SAT50,10000.0,0,SCORE-OR,6.17197,0.0562419,1.06692,48.53,0.196095
deer,GAM4,SAT50,10000.0,0,SCORE-OR,8.37386,0.0710581,0.809251,49.1011,0.318839
dog,GAM4,SAT50,10000.0,0,SCORE-OR,0.189554,0.00772728,1.21664,48.0698,0.0701899
horse,GAM4,SAT50,10000.0,0,SCORE-OR,3.9167,0.0450366,1.0131,49.73,0.145719
airplane,GAM4,SAT50,10000.0,0,SCORE-OR,4.95616,0.0283229,1.10782,47.5866,0.165156
car,GAM4,SAT50,10000.0,0,SCORE-OR,7.85657,0.0988363,1.06593,49.9481,0.303819
ship,GAM4,SAT50,10000.0,0,SCORE-OR,1.445,0.014508,1.24107,49.4123,0.114817
truck,GAM4,SAT50,10000.0,0,SCORE-OR,9.50971,0.149735,0.965309,49.2864,0.307236
cat,GAM4,SAT50,10000.0,0,RANKG,7.05228,0.0834546,0.991043,45.0263,0.263387
deer,GAM4,SAT50,10000.0,0,RANKG,9.55972,0.113139,0.803753,43.267,0.449341
dog,GAM4,SAT50,10000.0,0,RANKG,0.917852,0.00996956,1.23414,45.62,0.0892623
horse,GAM4,SAT50,10000.0,0,RANKG,4.78622,0.0732572,1.00709,46.3325,0.205986
airplane,GAM4,SAT50,10000.0,0,RANKG,5.8241,0.0378566,1.09011,44.4893,0.206725
car,GAM4,SAT50,10000.0,0,RANKG,8.93377,0.134563,1.0238,44.8326,0.411095
ship,GAM4,SAT50,10000.0,0,RANKG,2.39851,0.0212937,1.23603,45.9,0.169504
truck,GAM4,SAT50,10000.0,0,RANKG,10.6043,0.220087,0.932142,44.2013,0.413688
cat,GAM4,SAT50,10000.0,0,L-ISOTRON,7.13727,0.088277,0.98085,44.6661,0.271975
deer,GAM4,SAT50,10000.0,0,L-ISOTRON,9.69507,0.117389,0.799117,42.6277,0.463526
dog,GAM4,SAT50,10000.0,0,L-ISOTRON,0.938922,0.00964333,1.22191,45.5593,0.0873383
horse,GAM4,SAT50,10000.0,0,L-ISOTRON,4.88551,0.0781479,0.997214,45.9255,0.214859
airplane,GAM4,SAT50,10000.0,0,L-ISOTRON,5.90307,0.0389865,1.04967,44.2461,0.206699
car,GAM4,SAT50,10000.0,0,L-ISOTRON,9.04652,0.13928,1.01138,44.3058,0.422391
ship,GAM4,SAT50,10000.0,0,L-ISOTRON,2.50111,0.0216866,1.22825,45.535,0.174351
truck,GAM4,SAT50,10000.0,0,L-ISOTRON,10.6719,0.226841,0.935093,43.8939,0.420226
cat,GAM4,SAT50,10000.0,0,MLE-OR,13.8513,0.165675,0.95928,25.116,0.272218
deer,GAM4,SAT50,10000.0,0,MLE-OR,12.4018,0.172931,0.779073,35.0327,0.463428
dog,GAM4,SAT50,10000.0,0,MLE-OR,12.3027,0.0351525,1.02287,15.5219,0.087075
horse,GAM4,SAT50,10000.0,0,MLE-OR,12.1854,0.129801,0.9215,24.3223,0.214682
airplane,GAM4,SAT50,10000.0,0,MLE-OR,13.567,0.0941721,0.992921,22.4004,0.2065
car,GAM4,SAT50,10000.0,0,MLE-OR,11.5349,0.16488,0.97732,36.8092,0.422548
ship,GAM4,SAT50,10000.0,0,MLE-OR,11.0437,0.0618626,1.15839,21.19,0.174139
truck,GAM4,SAT50,10000.0,0,MLE-OR,13.2798,0.25195,0.961755,36.1866,0.420223
cat,GAM4,GAMMA07,10000.0,0,GI,9.67738,0.185088,0.888393,35.3939,0.450563
deer,GAM4,GAMMA07,10000.0,0,GI,12.3741,0.204584,0.68209,32.0778,0.669538
dog,GAM4,GAMMA07,10000.0,0,GI,3.3692,0.0205961,1.19684,37.6153,0.118866
horse,GAM4,GAMMA07,10000.0,0,GI,7.53345,0.148857,0.902197,36.5964,0.358786
airplane,GAM4,GAMMA07,10000.0,0,GI,7.85068,0.0927235,0.996732,37.1919,0.344571
car,GAM4,GAMMA07,10000.0,0,GI,11.7481,0.253387,0.876822,32.9419,0.657012
ship,GAM4,GAMMA07,10000.0,0,GI,5.01951,0.0531904,1.13875,36.7097,0.316609
truck,GAM4,GAMMA07,10000.0,0,GI,13.3114,0.393612,0.743833,33.2048,0.636378
cat,GAM4,GAMMA07,10000.0,0,DGI,1.72468,0.077323,0.84826,56.5329,0.400303
deer,GAM4,GAMMA07,10000.0,0,DGI,6.27907,0.121015,0.621488,42.2711,0.685067
dog,GAM4,GAMMA07,10000.0,0,DGI,-5.33721,0.00796681,1.21402,64.1715,0.0986713
horse,GAM4,GAMMA07,10000.0,0,DGI,-0.32414,0.0597307,0.900897,59.0659,0.281679
airplane,GAM4,GAMMA07,10000.0,0,DGI,-0.116607,0.0334008,1.07091,59.9533,0.292853
car,GAM4,GAMMA07,10000.0,0,DGI,5.91007,0.174583,0.773187,44.4626,0.624835
ship,GAM4,GAMMA07,10000.0,0,DGI,-3.13832,0.0235381,1.19012,60.69,0.243861
truck,GAM4,GAMMA07,10000.0,0,DGI,7.48788,0.255974,0.770227,45.588,0.59199
cat,GAM4,GAMMA07,10000.0,0,CORR,9.15549,0.165096,0.89035,37.1969,0.415325
deer,GAM4,GAMMA07,10000.0,0,CORR,11.7846,0.182451,0.726271,34.3034,0.625504
dog,GAM4,GAMMA07,10000.0,0,CORR,2.80368,0.0174397,1.21271,39.4469,0.107163
horse,GAM4,GAMMA07,10000.0,0,CORR,6.91699,0.123938,0.843137,38.7064,0.323025
airplane,GAM4,GAMMA07,10000.0,0,CORR,7.37222,0.0791316,1.00298,38.8221,0.316541
car,GAM4,GAMMA07,10000.0,0,CORR,11.1083,0.224416,0.979417,35.3267,0.611823
ship,GAM4,GAMMA07,10000.0,0,CORR,4.39469,0.0448439,1.21153,38.7979,0.284592
truck,GAM4,GAMMA07,10000.0,0,CORR,12.7692,0.36228,0.755215,35.1587,0.599842
cat,GAM4,GAMMA07,10000.0,0,SIR-10,9.54622,0.180947,0.899077,35.8445,0.441539
deer,GAM4,GAMMA07,10000.0,0,SIR-10,12.269,0.20203,0.700453,32.4582,0.662292
dog,GAM4,GAMMA07,10000.0,0,SIR-10,3.1981,0.0202264,1.19355,38.1601,0.117311
horse,GAM4,GAMMA07,10000.0,0,SIR-10,7.40788,0.143834,0.897876,37.0342,0.350133
airplane,GAM4,GAMMA07,10000.0,0,SIR-10,7.68904,0.0923014,1.01746,37.6982,0.339966
car,GAM4,GAMMA07,10000.0,0,SIR-10,11.616,0.246947,0.881222,33.4129,0.648448
ship,GAM4,GAMMA07,10000.0,0,SIR-10,4.87879,0.0510376,1.13688,37.1531,0.312358
truck,GAM4,GAMMA07,10000.0,0,SIR-10,13.1809,0.385718,0.745153,33.7024,0.626189
cat,GAM4,GAMMA07,10000.0,0,SIR-20,9.60869,0.183639,0.891404,35.6177,0.446888
deer,GAM4,GAMMA07,10000.0,0,SIR-20,12.3293,0.20198,0.697254,32.2389,0.666488
dog,GAM4,GAMMA07,10000.0,0,SIR-20,3.25608,0.0207065,1.20347,37.9694,0.119716
horse,GAM4,GAMMA07,10000.0,0,SIR-20,7.45552,0.145533,0.878097,36.8577,0.354475
airplane,GAM4,GAMMA07,10000.0,0,SIR-20,7.76105,0.0911429,1.00578,37.4907,0.339795
car,GAM4,GAMMA07,10000.0,0,SIR-20,11.6704,0.25142,0.872246,33.1955,0.652936
ship,GAM4,GAMMA07,10000.0,0,SIR-20,4.91624,0.0514616,1.13411,37.0361,0.313327
truck,GAM4,GAMMA07,10000.0,0,SIR-20,13.2661,0.389715,0.754538,33.4017,0.631734
cat,GAM4,GAMMA07,10000.0,0,WHITEN-LW,9.67738,0.185088,0.888393,35.3939,0.450563
deer,GAM4,GAMMA07,10000.0,0,WHITEN-LW,12.3741,0.204584,0.68209,32.0778,0.669538
dog,GAM4,GAMMA07,10000.0,0,WHITEN-LW,3.3692,0.0205961,1.19684,37.6153,0.118866
horse,GAM4,GAMMA07,10000.0,0,WHITEN-LW,7.53345,0.148857,0.902197,36.5964,0.358786
airplane,GAM4,GAMMA07,10000.0,0,WHITEN-LW,7.85068,0.0927235,0.996732,37.1919,0.344571
car,GAM4,GAMMA07,10000.0,0,WHITEN-LW,11.7481,0.253387,0.876822,32.9419,0.657012
ship,GAM4,GAMMA07,10000.0,0,WHITEN-LW,5.01951,0.0531904,1.13875,36.7097,0.316609
truck,GAM4,GAMMA07,10000.0,0,WHITEN-LW,13.3114,0.393612,0.743833,33.2048,0.636378
cat,GAM4,GAMMA07,10000.0,0,WHITEN-OR,9.67738,0.185088,0.888393,35.3939,0.450563
deer,GAM4,GAMMA07,10000.0,0,WHITEN-OR,12.3741,0.204584,0.68209,32.0778,0.669538
dog,GAM4,GAMMA07,10000.0,0,WHITEN-OR,3.3692,0.0205961,1.19684,37.6153,0.118866
horse,GAM4,GAMMA07,10000.0,0,WHITEN-OR,7.53345,0.148857,0.902197,36.5964,0.358786
airplane,GAM4,GAMMA07,10000.0,0,WHITEN-OR,7.85068,0.0927235,0.996732,37.1919,0.344571
car,GAM4,GAMMA07,10000.0,0,WHITEN-OR,11.7481,0.253387,0.876822,32.9419,0.657012
ship,GAM4,GAMMA07,10000.0,0,WHITEN-OR,5.01951,0.0531904,1.13875,36.7097,0.316609
truck,GAM4,GAMMA07,10000.0,0,WHITEN-OR,13.3114,0.393612,0.743833,33.2048,0.636378
cat,GAM4,GAMMA07,10000.0,0,SCORE-OR,7.98573,0.11082,1.04879,41.7522,0.307302
deer,GAM4,GAMMA07,10000.0,0,SCORE-OR,10.5833,0.153606,0.731513,38.7803,0.543263
dog,GAM4,GAMMA07,10000.0,0,SCORE-OR,1.89185,0.0148524,1.17356,42.4286,0.0950133
horse,GAM4,GAMMA07,10000.0,0,SCORE-OR,5.82723,0.0986771,0.95783,42.6399,0.254044
airplane,GAM4,GAMMA07,10000.0,0,SCORE-OR,6.43444,0.0568111,1.09676,42.2392,0.247491
car,GAM4,GAMMA07,10000.0,0,SCORE-OR,10.0112,0.180541,1.00328,39.8379,0.520343
ship,GAM4,GAMMA07,10000.0,0,SCORE-OR,3.53377,0.0276451,1.17472,41.8739,0.226798
truck,GAM4,GAMMA07,10000.0,0,SCORE-OR,11.5884,0.282549,0.901217,39.8084,0.507998
cat,GAM4,GAMMA07,10000.0,0,RANKG,9.54324,0.176114,0.91,35.9275,0.434854
deer,GAM4,GAMMA07,10000.0,0,RANKG,12.2225,0.201523,0.684812,32.5675,0.661563
dog,GAM4,GAMMA07,10000.0,0,RANKG,3.25731,0.0202675,1.20633,37.971,0.117945
horse,GAM4,GAMMA07,10000.0,0,RANKG,7.33804,0.141561,0.906765,37.2584,0.347461
airplane,GAM4,GAMMA07,10000.0,0,RANKG,7.72999,0.088126,0.982373,37.6177,0.335349
car,GAM4,GAMMA07,10000.0,0,RANKG,11.5934,0.246304,0.88676,33.5348,0.645256
ship,GAM4,GAMMA07,10000.0,0,RANKG,4.88937,0.050803,1.15856,37.1397,0.309988
truck,GAM4,GAMMA07,10000.0,0,RANKG,13.1774,0.383827,0.760811,33.6878,0.627197
cat,GAM4,GAMMA07,10000.0,0,L-ISOTRON,9.54622,0.180947,0.899077,35.8445,0.441539
deer,GAM4,GAMMA07,10000.0,0,L-ISOTRON,12.3741,0.204584,0.68209,32.0778,0.669538
dog,GAM4,GAMMA07,10000.0,0,L-ISOTRON,3.3694,0.0205984,1.19684,37.6147,0.118873
horse,GAM4,GAMMA07,10000.0,0,L-ISOTRON,7.53345,0.148857,0.902197,36.5964,0.358786
airplane,GAM4,GAMMA07,10000.0,0,L-ISOTRON,7.85068,0.0927235,0.996732,37.1919,0.344571
car,GAM4,GAMMA07,10000.0,0,L-ISOTRON,11.7481,0.253387,0.876822,32.9419,0.657012
ship,GAM4,GAMMA07,10000.0,0,L-ISOTRON,5.01951,0.0531904,1.13875,36.7097,0.316609
truck,GAM4,GAMMA07,10000.0,0,L-ISOTRON,13.3114,0.393612,0.743833,33.2048,0.636378
cat,GAM4,GAMMA07,10000.0,0,MLE-OR,11.7363,0.219385,0.873865,30.019,0.450627
deer,GAM4,GAMMA07,10000.0,0,MLE-OR,13.4761,0.227393,0.690151,29.8195,0.669572
dog,GAM4,GAMMA07,10000.0,0,MLE-OR,5.86566,0.0271341,1.17663,30.1088,0.118851
horse,GAM4,GAMMA07,10000.0,0,MLE-OR,9.40336,0.172136,0.916947,31.4037,0.35882
airplane,GAM4,GAMMA07,10000.0,0,MLE-OR,10.1492,0.114783,0.995614,30.7329,0.344575
car,GAM4,GAMMA07,10000.0,0,MLE-OR,12.7901,0.274483,0.912347,30.7364,0.657085
ship,GAM4,GAMMA07,10000.0,0,MLE-OR,7.24251,0.0658872,1.12219,30.413,0.316624
truck,GAM4,GAMMA07,10000.0,0,MLE-OR,14.2472,0.413045,0.739839,31.165,0.63641
cat,GAM4,LOG,10000.0,0,GI,8.94348,0.162536,0.971339,37.9264,0.402403
