family,probe_type,v_idx,err,q_theory
GAM2,structured,50,0.173864,0.165507
GAM2,structured,51,0.229294,0.224201
GAM2,structured,52,0.590167,0.590911
GAM2,structured,53,0.313944,0.319034
GAM2,structured,54,0.275185,0.270961
GAM2,structured,55,0.144351,0.142987
GAM2,structured,56,0.237181,0.237105
GAM2,structured,57,0.518205,0.515367
GAM2,structured,58,0.17083,0.169277
GAM2,structured,59,0.296726,0.286919
GAM2,structured,60,0.209006,0.210707
GAM2,structured,61,0.140001,0.141022
GAM2,structured,62,0.182943,0.188002
GAM2,structured,63,0.479099,0.478343
GAM3,zero_mean_random,0,0.055252,0.0620886
GAM3,zero_mean_random,1,0.0626588,0.0620886
GAM3,zero_mean_random,2,0.0583331,0.0620886
GAM3,zero_mean_random,3,0.0617861,0.0620886
GAM3,zero_mean_random,4,0.0651456,0.0620886
GAM3,zero_mean_random,5,0.0599518,0.0620886
GAM3,zero_mean_random,6,0.0617762,0.0620886
GAM3,zero_mean_random,7,0.0645004,0.0620886
GAM3,zero_mean_random,8,0.0624037,0.0620886
GAM3,zero_mean_random,9,0.0641106,0.0620886
GAM3,zero_mean_random,10,0.0630551,0.0620886
GAM3,zero_mean_random,11,0.0653866,0.0620886
GAM3,zero_mean_random,12,0.0606869,0.0620886
GAM3,zero_mean_random,13,0.0620844,0.0620886
GAM3,zero_mean_random,14,0.0608285,0.0620886
GAM3,zero_mean_random,15,0.0662492,0.0620886
GAM3,zero_mean_random,16,0.0629568,0.0620886
GAM3,zero_mean_random,17,0.0629869,0.0620886
GAM3,zero_mean_random,18,0.0617456,0.0620886
GAM3,zero_mean_random,19,0.0656955,0.0620886
GAM3,zero_mean_random,20,0.0593529,0.0620886
GAM3,zero_mean_random,21,0.0596312,0.0620886
GAM3,zero_mean_random,22,0.0650802,0.0620886
GAM3,zero_mean_random,23,0.0624476,0.0620886
GAM3,zero_mean_random,24,0.0578795,0.0620886
GAM3,zero_mean_random,25,0.0622914,0.0620886
GAM3,zero_mean_random,26,0.0634646,0.0620886
GAM3,zero_mean_random,27,0.0540008,0.0620886
GAM3,zero_mean_random,28,0.0652042,0.0620886
GAM3,zero_mean_random,29,0.0659868,0.0620886
GAM3,zero_mean_random,30,0.0599169,0.0620886
GAM3,zero_mean_random,31,0.0614694,0.0620886
GAM3,nonzero_sum_random,32,0.0623458,0.0620886
GAM3,nonzero_sum_random,33,0.0626484,0.0620886
GAM3,nonzero_sum_random,34,0.0613145,0.0620886
GAM3,nonzero_sum_random,35,0.0624798,0.0620886
GAM3,nonzero_sum_random,36,0.0630813,0.0620886
GAM3,nonzero_sum_random,37,0.0600872,0.0620886
GAM3,nonzero_sum_random,38,0.0664959,0.0620886
GAM3,nonzero_sum_random,39,0.0627815,0.0620886
GAM3,nonzero_sum_random,40,0.0636558,0.0620886
GAM3,nonzero_sum_random,41,0.0582352,0.0620886
GAM3,nonzero_sum_random,42,0.0648272,0.0620886
GAM3,nonzero_sum_random,43,0.060442,0.0620886
GAM3,nonzero_sum_random,44,0.0583983,0.0620886
GAM3,nonzero_sum_random,45,0.0632195,0.0620886
GAM3,nonzero_sum_random,46,0.0588002,0.0620886
GAM3,nonzero_sum_random,47,0.0612222,0.0620886
GAM3,structured,48,0.0619522,0.0620886
GAM3,structured,49,0.0598425,0.0620886
GAM3,structured,50,0.0649275,0.0620886
GAM3,structured,51,0.064053,0.0620886
GAM3,structured,52,0.0588465,0.0620886
GAM3,structured,53,0.0630927,0.0620886
GAM3,structured,54,0.061952,0.0620886
GAM3,structured,55,0.0584959,0.0620886
GAM3,structured,56,0.0618193,0.0620886
GAM3,structured,57,0.064318,0.0620886
GAM3,structured,58,0.0612115,0.0620886
GAM3,structured,59,0.0610008,0.0620886
GAM3,structured,60,0.0587766,0.0620886
GAM3,structured,61,0.0573504,0.0620886
GAM3,structured,62,0.0630809,0.0620886
GAM3,structured,63,0.0679312,0.0620886
GAM4,zero_mean_random,0,0.0509664,0.0506952
GAM4,zero_mean_random,1,0.0509264,0.0506952
GAM4,zero_mean_random,2,0.0502046,0.0506952
GAM4,zero_mean_random,3,0.05079,0.0506952
GAM4,zero_mean_random,4,0.050515,0.0506952
GAM4,zero_mean_random,5,0.048724,0.0506952
GAM4,zero_mean_random,6,0.0550595,0.0506952
GAM4,zero_mean_random,7,0.0523495,0.0506952
GAM4,zero_mean_random,8,0.0524366,0.0506952
GAM4,zero_mean_random,9,0.0514984,0.0506952
GAM4,zero_mean_random,10,0.0500577,0.0506952
GAM4,zero_mean_random,11,0.0461004,0.0506952
GAM4,zero_mean_random,12,0.0519427,0.0506952
GAM4,zero_mean_random,13,0.0501662,0.0506952
GAM4,zero_mean_random,14,0.0533385,0.0506952
GAM4,zero_mean_random,15,0.052098,0.0506952
GAM4,zero_mean_random,16,0.0504275,0.0506952
GAM4,zero_mean_random,17,0.0535804,0.0506952
GAM4,zero_mean_random,18,0.0506568,0.0506952
GAM4,zero_mean_random,19,0.0515135,0.0506952
GAM4,zero_mean_random,20,0.0508954,0.0506952
GAM4,zero_mean_random,21,0.0496088,0.0506952
GAM4,zero_mean_random,22,0.0499015,0.0506952
GAM4,zero_mean_random,23,0.0525376,0.0506952
GAM4,zero_mean_random,24,0.0489723,0.0506952
GAM4,zero_mean_random,25,0.0514215,0.0506952
GAM4,zero_mean_random,26,0.0491289,0.0506952
GAM4,zero_mean_random,27,0.0513289,0.0506952
GAM4,zero_mean_random,28,0.0531069,0.0506952
GAM4,zero_mean_random,29,0.0545399,0.0506952
GAM4,zero_mean_random,30,0.0473737,0.0506952
GAM4,zero_mean_random,31,0.0502111,0.0506952
