image,illum,link,photons,seed,method,PSNR,SSIM,LPIPS,angerr,pearson
horse,GAM4,DT30,10000.0,1,MLE-OR,31.54793061365577,0.9882095292030203,nan,2.4003477750222144,0.9923387527122356
airplane,GAM4,DT30,10000.0,1,MLE-OR,31.091743370484227,0.9696401634752884,nan,2.6683130188652777,0.9865537801213332
car,GAM4,DT30,10000.0,1,MLE-OR,34.177942032134546,0.9964350997584895,nan,2.400873130299281,0.9976908959421243
ship,GAM4,DT30,10000.0,1,MLE-OR,29.14145659160477,0.9593393221629744,nan,2.6062993704336557,0.9877485249504453
truck,GAM4,DT30,10000.0,1,MLE-OR,33.13545479420665,0.9918172166833912,nan,2.608116977763236,0.9966903058415899
cat,GAM4,DT30,10000.0,1,MAVE-16,29.92175803225006,0.9825940888373041,nan,3.480749381414561,0.9853100115981771
deer,GAM4,DT30,10000.0,1,MAVE-16,34.51017122946989,0.9790418774300224,nan,2.6398725386540938,0.9971518697044892
dog,GAM4,DT30,10000.0,1,MAVE-16,25.321262440168397,0.8553346432354985,nan,3.4162557770350297,0.8901871018302452
horse,GAM4,DT30,10000.0,1,MAVE-16,29.36549034296131,0.9795446665976203,nan,3.086199623379788,0.9873331859866913
airplane,GAM4,DT30,10000.0,1,MAVE-16,28.83299140701339,0.9493626970589131,nan,3.4614461283194626,0.9773071906782331
car,GAM4,DT30,10000.0,1,MAVE-16,32.54894850045277,0.9948316938737158,nan,2.8939654814569593,0.9966540813337376
ship,GAM4,DT30,10000.0,1,MAVE-16,27.312929474190174,0.9372597573280902,nan,3.2184042682031624,0.9811581943003709
truck,GAM4,DT30,10000.0,1,MAVE-16,32.68238176414472,0.9904891979955669,nan,2.748529266677989,0.9963201370653775
cat,GAM4,DT30,10000.0,2,SCORE-OR,20.703385350153816,0.8690055718434847,nan,9.945931048324598,0.8976312303427176
deer,GAM4,DT30,10000.0,2,SCORE-OR,23.095802400717943,0.8037694381290477,nan,9.727836270096248,0.962764687610055
dog,GAM4,DT30,10000.0,2,SCORE-OR,15.906006035171064,0.3798784535949611,nan,10.016651450614457,0.5280878552062366
horse,GAM4,DT30,10000.0,2,SCORE-OR,19.235925946178295,0.8092588323383904,nan,9.81641105644284,0.8890878472784416
airplane,GAM4,DT30,10000.0,2,SCORE-OR,19.665348545818937,0.7011088083196337,nan,9.857256426807188,0.8495536698821713
car,GAM4,DT30,10000.0,2,SCORE-OR,22.206978630707475,0.9456433417440588,nan,9.564991283995724,0.9630648584989548
ship,GAM4,DT30,10000.0,2,SCORE-OR,17.781756817703673,0.6965296100892764,nan,9.554655766798438,0.8636822680245246
truck,GAM4,DT30,10000.0,2,SCORE-OR,21.8333217415983,0.8922007000190147,nan,9.51243522518264,0.9575862162748023
