cell_id,shard_id,side,pattern,rho_bar,nu,M,seed,image,arm,PSNR,SSIM,LPIPS,rad_nrmse,flux_dev,lam_tv,mean_counts,optical_time_s,dark_frac,tau_err,runtime_s,select_runtime_s,PSNR_rad,C_hat,S_N2,V0_exact,muprime0_exact,omega_A,c_used,sigma_grad_arm,lambda_tv_arm,audit_status,d_ratio,q_d,q_mean,leak_suspect,cnr,C_u,Gamma,S_det,S_inc,k_occupancy
M1_RIDGE-SCAT32_00_c0022,M1_RIDGE-SCAT32_00,32,m1pat:RIDGE-SCAT32:m1_chirp_0,2.4108127435862743,50.0,1024,2,m1_chirp_0,RQL,6.5402,0.07586,,0.65207,0.00422,2.087774,35.25,0.0025599999999999998,0.0,0.0,0.13,0.128,6.5417,1.583935,8.499676,3.157528,0.0,31.278817,0.5,1.121465,2.087774,,,,,,,0.215137,1.278948,0.03441906,0.11767344,
M1_RIDGE-SCAT32_00_c0023,M1_RIDGE-SCAT32_00,32,m1pat:RIDGE-SCAT32:m1_chirp_0,4.797668110885227,100.0,1024,2,m1_chirp_0,RQL,6.8741,0.13628,,0.6274,0.00515,3.197969,82.55,0.0051199999999999996,0.0,0.0,0.13,0.127,6.8766,1.654577,12.978715,2.564115,0.0,31.120775,0.5,1.717815,3.197969,,,,,,,0.215137,1.957057,0.08061695,0.468355,
M1_RIDGE-SCAT32_00_c0024,M1_RIDGE-SCAT32_00,32,m1pat:RIDGE-SCAT32:m1_chirp_0,9.556040840787572,200.0,1024,2,m1_chirp_0,RQL,7.6468,0.28886,,0.57402,0.00229,4.762291,180.69,0.010239999999999999,0.0,0.0,0.17,0.17,7.6491,1.763229,17.666138,1.715243,0.0,31.206281,0.5,2.558104,4.762291,,,,,,,0.215137,2.894799,0.17645073,1.86574785,
M1_RIDGE-SCAT32_00_c0025,M1_RIDGE-SCAT32_00,32,m1pat:RIDGE-SCAT32:m1_chirp_0,13.805668080728806,500.0,1024,2,m1_chirp_0,RQL,8.8816,0.48509,,0.49831,-0.00203,7.588871,465.28,0.025599999999999998,0.0,0.0,0.17,0.166,8.8776,1.805418,57.29184,2.214084,0.0,31.386091,0.5,4.076425,7.588871,,,,,,,0.215137,4.64531,0.45437336,6.73864209,
M1_RIDGE-SCAT32_00_c0026,M1_RIDGE-SCAT32_00,32,m1pat:RIDGE-SCAT32:m1_chirp_0,17.540938212081567,1000.0,1024,2,m1_chirp_0,RQL,10.3188,0.65587,,0.42302,-0.00523,10.759344,944.15,0.051199999999999996,0.0,0.0,0.22,0.219,10.3004,1.753705,142.337355,2.837946,0.0,31.225949,0.5,5.779471,10.759344,,,,,,,0.215137,6.61722,0.92202187,17.12370655,
M1_RIDGE-SCAT32_00_c0027,M1_RIDGE-SCAT32_00,32,m1pat:RIDGE-SCAT32:m1_chirp_0,22.25454777474566,2000.0,1024,2,m1_chirp_0,RQL,12.2201,0.79774,,0.34045,-0.00553,15.250212,1910.62,0.10239999999999999,0.0,0.0,0.24,0.241,12.1865,1.85333,388.16153,3.624364,0.0,31.333151,0.5,8.191778,15.250212,,,,,,,0.215137,9.412076,1.86584282,43.45039482,
M1_RIDGE-SCAT32_00_c0028,M1_RIDGE-SCAT32_00,32,m1pat:RIDGE-SCAT32:m1_chirp_0,0.23586945340800342,5.0,1024,3,m1_chirp_0,RQL,6.0333,0.00403,,0.69137,0.00085,0.34652,0.95,0.000256,0.0,0.0,0.1,0.096,6.0333,1.0,0.674629,0.662533,0.0,31.327862,0.5,0.186136,0.34652,,,,,,,0.215137,0.21016,0.00092983,0.0011513,
M1_RIDGE-SCAT32_00_c0029,M1_RIDGE-SCAT32_00,32,m1pat:RIDGE-SCAT32:m1_chirp_0,0.467411855118452,10.0,1024,3,m1_chirp_0,RQL,6.0731,0.00447,,0.68846,0.02992,0.630967,3.24,0.000512,0.0,0.0,0.09,0.089,6.07,1.184042,1.740351,1.558134,0.0,31.411899,0.5,0.338929,0.630967,,,,,,,0.215137,0.383963,0.00315952,0.00456294,
M1_RIDGE-SCAT32_00_c0030,M1_RIDGE-SCAT32_00,32,m1pat:RIDGE-SCAT32:m1_chirp_0,0.9290038536098086,20.0,1024,3,m1_chirp_0,RQL,6.1764,0.01568,,0.68014,-0.0053,1.093029,9.55,0.001024,0.0,0.0,0.1,0.099,6.1757,1.716989,4.06016,2.705781,0.0,30.891742,0.5,0.587129,1.093029,,,,,,,0.215137,0.667686,0.00932884,0.01813813,
M1_RIDGE-SCAT32_00_c0031,M1_RIDGE-SCAT32_00,32,m1pat:RIDGE-SCAT32:m1_chirp_0,2.305838221744636,50.0,1024,3,m1_chirp_0,RQL,6.5664,0.07757,,0.65009,0.00611,2.072399,34.79,0.0025599999999999998,0.0,0.0,0.12,0.118,6.5681,1.529801,8.626753,3.311918,0.0,31.092121,0.5,1.113206,2.072399,,,,,,,0.215137,1.270497,0.03397274,0.11254956,
M1_RIDGE-SCAT32_00_c0032,M1_RIDGE-SCAT32_00,32,m1pat:RIDGE-SCAT32:m1_chirp_0,4.588762248231681,100.0,1024,3,m1_chirp_0,RQL,6.9618,0.15698,,0.62139,-0.00244,3.182064,81.8,0.0051199999999999996,0.0,0.0,0.15,0.152,6.9603,1.672258,13.946428,2.73201,0.0,31.299853,0.5,1.709272,3.182064,,,,,,,0.215137,1.949418,0.07988262,0.44796132,
M1_RIDGE-SCAT32_00_c0033,M1_RIDGE-SCAT32_00,32,m1pat:RIDGE-SCAT32:m1_chirp_0,9.139940162445965,200.0,1024,3,m1_chirp_0,RQL,7.5531,0.27405,,0.58019,0.00337,4.743526,179.92,0.010239999999999999,0.0,0.0,0.16,0.162,7.5562,1.706567,18.476961,1.844284,0.0,31.291609,0.5,2.548024,4.743526,,,,,,,0.215137,2.888577,0.17569923,1.78450721,
M1_RIDGE-SCAT32_00_c0034,M1_RIDGE-SCAT32_00,32,m1pat:RIDGE-SCAT32:m1_chirp_0,13.805668080728806,500.0,1024,3,m1_chirp_0,RQL,8.9343,0.4984,,0.4954,-0.00276,7.588871,465.27,0.025599999999999998,0.0,0.0,0.17,0.165,8.9285,1.723571,54.079846,2.214084,0.0,30.959249,0.5,4.076425,7.588871,,,,,,,0.215137,4.64531,0.45436478,6.73864209,
M1_RIDGE-SCAT32_00_c0035,M1_RIDGE-SCAT32_00,32,m1pat:RIDGE-SCAT32:m1_chirp_0,17.540938212081567,1000.0,1024,3,m1_chirp_0,RQL,10.3792,0.65367,,0.4202,-0.00561,10.759344,944.14,0.051199999999999996,0.0,0.0,0.22,0.217,10.3584,1.868799,150.944652,2.837946,0.0,31.110853,0.5,5.779471,10.759344,,,,,,,0.215137,6.61722,0.92201233,17.12370655,
M1_RIDGE-SCAT32_00_c0036,M1_RIDGE-SCAT32_00,32,m1pat:RIDGE-SCAT32:m1_chirp_0,22.25454777474566,2000.0,1024,3,m1_chirp_0,RQL,12.1153,0.7895,,0.34448,-0.00518,15.250212,1910.66,0.10239999999999999,0.0,0.0,0.24,0.241,12.0844,1.751098,366.352045,3.624364,0.0,31.281592,0.5,8.191778,15.250212,,,,,,,0.215137,9.412076,1.86588097,43.45039482,
M1_RIDGE-SCAT32_00_c0037,M1_RIDGE-SCAT32_00,32,m1pat:RIDGE-SCAT32:m1_chirp_0,0.24330642031629984,5.0,1024,4,m1_chirp_0,RQL,6.1083,0.00439,,0.6863,0.05067,0.351158,1.01,0.000256,0.0,0.0,0.1,0.1,6.0973,1.074346,0.694162,0.672271,0.0,31.198533,0.5,0.188627,0.351158,,,,,,,0.215137,0.212808,0.00099087,0.0011876,
M1_RIDGE-SCAT32_00_c0038,M1_RIDGE-SCAT32_00,32,m1pat:RIDGE-SCAT32:m1_chirp_0,0.48214935693920885,10.0,1024,4,m1_chirp_0,RQL,6.1055,0.01595,,0.68567,0.01106,0.638046,3.27,0.000512,0.0,0.0,0.1,0.099,6.1053,1.0,1.622424,1.561765,0.0,31.347808,0.5,0.342732,0.638046,,,,,,,0.215137,0.388025,0.00319099,0.00470681,
