side,pattern,rho_bar,nu,M,seed,image,arm,PSNR,SSIM,LPIPS,rad_nrmse,flux_dev,lam_tv,mean_counts,optical_time_s,dark_frac,tau_err,runtime_s,select_runtime_s,PSNR_rad,C_hat,S_N2,V0_exact,muprime0_exact,omega_A,c_used,sigma_grad_arm,lambda_tv_arm,audit_status,d_ratio,q_d,q_mean,leak_suspect,c_force
64,bern50,0.05,10.0,4096,0,dev_stl_01,RQL,13.0071,0.12147,,0.42954,0.0224,0.015999,0.49,0.002048,0.0,0.0,4.95,4.949,12.9248,9.560816,0.435523,0.435039,0.0,0.999696,0.25,0.015691,0.015999,,,,,,0.25
64,bern50,0.05,10.0,4096,0,dev_stl_02,RQL,6.9181,0.14247,,0.92148,-0.01995,0.015999,0.47,0.002048,0.0,0.0,12.07,12.069,7.0935,1.0,0.428319,0.435039,0.0,0.999696,0.25,0.015691,0.015999,,,,,,0.25
64,bern50,0.05,10.0,4096,0,dev_stl_03,RQL,13.7882,0.11547,,0.73981,0.00453,0.015999,0.48,0.002048,0.0,0.0,5.88,5.881,13.7817,1.0,0.42885,0.435039,0.0,0.999696,0.25,0.015691,0.015999,,,,,,0.25
64,bern50,0.05,10.0,4096,0,dev_text,RQL,13.0686,0.02692,,0.97401,0.00412,0.015999,0.48,0.002048,0.0,0.0,4.6,4.602,13.0685,23.085344,0.436209,0.435039,0.0,0.999696,0.25,0.015691,0.015999,,,,,,0.25
64,bern50,0.05,10.0,4096,0,dev_fine_lines,RQL,2.7524,0.0027,,1.09288,-0.01535,0.015999,0.47,0.002048,0.0,0.0,10.82,10.817,2.8188,1.0,0.432987,0.435039,0.0,0.999696,0.25,0.015691,0.015999,,,,,,0.25
64,bern50,0.05,10.0,4096,1,dev_stl_00,RQL,17.6128,0.25503,,0.26463,0.02716,0.015966,0.49,0.002048,0.0,0.0,5.12,5.123,17.5188,64.0,0.43953,0.435039,0.0,0.999712,0.25,0.015658,0.015966,,,,,,0.25
64,bern50,0.05,10.0,4096,1,dev_stl_01,RQL,15.186,0.13319,,0.34126,0.05216,0.015966,0.5,0.002048,0.0,0.0,4.38,4.384,14.9232,64.0,0.463139,0.435039,0.0,0.999712,0.25,0.015658,0.015966,,,,,,0.25
64,bern50,0.05,10.0,4096,1,dev_stl_02,RQL,12.3646,0.11469,,0.51217,0.03642,0.015966,0.49,0.002048,0.0,0.0,5.98,5.978,12.1949,64.0,0.457646,0.435039,0.0,0.999712,0.25,0.015658,0.015966,,,,,,0.25
64,bern50,0.05,10.0,4096,1,dev_stl_03,RQL,13.8322,0.11283,,0.73262,-0.02744,0.015966,0.46,0.002048,0.0,0.0,4.54,4.541,13.8665,1.0,0.406588,0.435039,0.0,0.999712,0.25,0.015658,0.015966,,,,,,0.25
64,bern50,0.05,10.0,4096,1,dev_text,RQL,13.0862,0.02978,,0.97204,0.0176,0.015966,0.48,0.002048,0.0,0.0,4.61,4.61,13.0861,64.0,0.457927,0.435039,0.0,0.999712,0.25,0.015658,0.015966,,,,,,0.25
64,bern50,0.05,10.0,4096,1,dev_fine_lines,RQL,5.8994,0.00517,,0.76624,-0.0055,0.015966,0.47,0.002048,0.0,0.0,4.1,4.101,5.9029,5.910314,0.435338,0.435039,0.0,0.999712,0.25,0.015658,0.015966,,,,,,0.25
64,bern50,0.05,10.0,4096,0,dev_stl_00,RQL,18.4426,0.27839,,0.23869,0.01945,0.031999,0.48,0.002048,0.0,0.0,2.82,2.821,18.415,64.0,0.452754,0.435039,0.0,0.999696,0.5,0.015691,0.031999,,,,,,0.5
64,bern50,0.05,10.0,4096,0,dev_stl_01,RQL,15.7846,0.15099,,0.30996,0.0227,0.031999,0.49,0.002048,0.0,0.0,3.9,3.901,15.7588,9.560816,0.435523,0.435039,0.0,0.999696,0.5,0.015691,0.031999,,,,,,0.5
64,bern50,0.05,10.0,4096,0,dev_stl_02,RQL,15.0637,0.14126,,0.36852,-0.01826,0.031999,0.47,0.002048,0.0,0.0,2.76,2.764,15.0539,1.0,0.428319,0.435039,0.0,0.999696,0.5,0.015691,0.031999,,,,,,0.5
