image,rho_bar,nu,seed,C0,C_hat,c_pick,P_25,P_50,P_max,P_pick,regret
dev_stl_01,0.6,5.0,0,16,47.77413,0.25,11.0527,15.873,15.873,11.0527,4.8203
dev_stl_01,0.6,5.0,1,16,1.0,0.5,10.9099,14.0594,14.0594,14.0594,0.0
dev_stl_02,0.05,1000.0,0,16,1.328549,0.5,14.834,15.5149,15.5149,15.5149,0.0
dev_stl_02,0.05,1000.0,1,16,1.0,0.5,15.6771,15.8546,15.8546,15.8546,0.0
dev_stl_02,0.05,100.0,0,16,1.0,0.5,13.9192,15.0481,15.0481,15.0481,0.0
dev_stl_02,0.05,100.0,1,16,16.827061,0.25,15.2016,15.2244,15.2244,15.2016,0.0228
dev_stl_02,0.05,10.0,0,16,1.0,0.5,7.0935,15.0539,15.0539,15.0539,0.0
dev_stl_02,0.05,10.0,1,16,64.0,0.25,12.1949,14.8703,14.8703,12.1949,2.6754
dev_stl_02,0.05,2000.0,0,16,3.844034,0.5,15.8589,16.092,16.092,16.092,0.0
dev_stl_02,0.05,2000.0,1,16,1.828538,0.5,15.3984,15.7165,15.7165,15.7165,0.0
dev_stl_02,0.05,200.0,0,16,9.046743,0.5,14.8105,15.0778,15.0778,15.0778,0.0
dev_stl_02,0.05,200.0,1,16,14.883392,0.5,14.5885,15.0704,15.0704,15.0704,0.0
dev_stl_02,0.05,20.0,0,16,1.0,0.5,14.7743,15.1965,15.1965,15.1965,0.0
dev_stl_02,0.05,20.0,1,16,1.0,0.5,14.4108,15.0133,15.0133,15.0133,0.0
dev_stl_02,0.05,500.0,0,16,1.0,0.5,14.0111,14.8773,14.8773,14.8773,0.0
dev_stl_02,0.05,500.0,1,16,6.405315,0.5,15.3253,15.6999,15.6999,15.6999,0.0
dev_stl_02,0.05,50.0,0,16,1.0,0.5,13.2576,14.8812,14.8812,14.8812,0.0
dev_stl_02,0.05,50.0,1,16,64.0,0.25,10.617,15.433,15.433,10.617,4.816
dev_stl_02,0.05,5.0,0,16,64.0,0.25,14.9998,15.1459,15.1459,14.9998,0.1461
dev_stl_02,0.05,5.0,1,16,1.0,0.5,13.3626,15.0208,15.0208,15.0208,0.0
dev_stl_02,0.6,1000.0,0,16,1.291616,0.5,16.2588,16.7627,16.7627,16.7627,0.0
dev_stl_02,0.6,1000.0,1,16,1.0,0.5,16.4033,16.728,16.728,16.728,0.0
dev_stl_02,0.6,100.0,0,16,6.913066,0.5,13.6222,14.9072,14.9072,14.9072,0.0
dev_stl_02,0.6,100.0,1,16,5.083504,0.5,14.6164,15.0394,15.0394,15.0394,0.0
dev_stl_02,0.6,10.0,0,16,1.0,0.5,12.9107,14.9395,14.9395,14.9395,0.0
dev_stl_02,0.6,10.0,1,16,25.552463,0.25,12.729,15.1023,15.1023,12.729,2.3733
dev_stl_02,0.6,2000.0,0,16,1.132286,0.5,17.0664,17.7549,17.7549,17.7549,0.0
dev_stl_02,0.6,2000.0,1,16,1.0,0.5,16.3957,17.0961,17.0961,17.0961,0.0
dev_stl_02,0.6,200.0,0,16,1.762249,0.5,15.5995,15.8402,15.8402,15.8402,0.0
dev_stl_02,0.6,200.0,1,16,1.0,0.5,16.0333,15.8536,16.0333,15.8536,0.1797
dev_stl_02,0.6,20.0,0,16,18.110508,0.25,13.6069,14.8484,14.8484,13.6069,1.2415
dev_stl_02,0.6,20.0,1,16,1.0,0.5,13.1825,14.9966,14.9966,14.9966,0.0
dev_stl_02,0.6,500.0,0,16,1.628539,0.5,15.4442,15.9028,15.9028,15.9028,0.0
dev_stl_02,0.6,500.0,1,16,1.402534,0.5,15.9857,16.2216,16.2216,16.2216,0.0
dev_stl_02,0.6,50.0,0,16,1.0,0.5,15.6259,15.2791,15.6259,15.2791,0.3468
dev_stl_02,0.6,50.0,1,16,1.0,0.5,14.9135,14.987,14.987,14.987,0.0
dev_stl_02,0.6,5.0,0,16,1.0,0.5,15.0302,15.132,15.132,15.132,0.0
dev_stl_02,0.6,5.0,1,16,47.06568,0.25,11.4673,14.8895,14.8895,11.4673,3.4222
dev_stl_03,0.05,1000.0,0,16,1.745736,0.5,15.2938,15.0184,15.2938,15.0184,0.2754
dev_stl_03,0.05,1000.0,1,16,2.58548,0.5,15.3579,14.8706,15.3579,14.8706,0.4873
dev_stl_03,0.05,100.0,0,16,30.383025,0.25,15.0225,14.8155,15.0225,15.0225,0.0
dev_stl_03,0.05,100.0,1,16,12.06463,0.5,15.0417,14.817,15.0417,14.817,0.2247
dev_stl_03,0.05,10.0,0,16,1.0,0.5,13.7817,14.6626,14.6626,14.6626,0.0
dev_stl_03,0.05,10.0,1,16,1.0,0.5,13.8665,14.7258,14.7258,14.7258,0.0
dev_stl_03,0.05,2000.0,0,16,2.732021,0.5,15.627,15.2076,15.627,15.2076,0.4194
dev_stl_03,0.05,2000.0,1,16,1.0,0.5,15.3198,15.026,15.3198,15.026,0.2938
dev_stl_03,0.05,200.0,0,16,30.804615,0.25,15.0657,14.9127,15.0657,15.0657,0.0
dev_stl_03,0.05,200.0,1,16,6.557204,0.5,15.317,14.8336,15.317,14.8336,0.4834
dev_stl_03,0.05,20.0,0,16,1.0,0.5,14.281,14.881,14.881,14.881,0.0
dev_stl_03,0.05,20.0,1,16,64.0,0.25,14.9416,14.8165,14.9416,14.9416,0.0
dev_stl_03,0.05,500.0,0,16,1.0,0.5,15.142,15.1165,15.142,15.1165,0.0255
dev_stl_03,0.05,500.0,1,16,5.523107,0.5,15.0674,14.7682,15.0674,14.7682,0.2992
dev_stl_03,0.05,50.0,0,16,1.0,0.5,14.7671,14.7697,14.7697,14.7697,0.0
dev_stl_03,0.05,50.0,1,16,1.0,0.5,15.07,14.7921,15.07,14.7921,0.2779
dev_stl_03,0.05,5.0,0,16,50.466485,0.25,13.9662,15.0326,15.0326,13.9662,1.0664
